Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
SA 250	Unnamed location	48.04	-116.7758	160170144	N/A	309
SA 251	St. Joe American Corp. Prospect	48.0842	-116.7111	N/A	N/A	330
SA 252	Halliwill Prospect (Huckleberry Mountain)	48.0761	-116.6869	160170112	W007753	254
SA 253	Halliwill Prospect (Long Mountain)	48.0917	-116.6953	160170112	W007754	253
SA 254	Unnamed location	48.1017	-116.6678	160170111	N/A	255
SA 255	Silver Star Prospect (Westmond Prospect; Amalgamated Gold Mining Co.)	48.1264	-116.6	160170301	W007524	256
SA 257	MacBurney Prospect	48.0906	-116.5869	160170116	W007544	252
SA 259	Hope and Faith Mine	48.1558	-116.5122	160170185	N/A	210
SA 260	Catherine Mine (Silver Butte Mine)	48.1567	-116.5031	160170187	N/A	213
SA 261	Silver Butte Mine (Silver Hill; Brown Bear Mine; Erickson)	48.1514	-116.5125	160170388	W007760	214
SA 262	Iron Mask Mine	48.1603	-116.5158	160170083	W007800	209
SA 263	Apollo Group	48.1481	-116.4958	160170245	N/A	207
SA 264	Stemwinder Prospect	48.1456	-116.5053	160170365	W026801	261
SA 265	Santiago-Evans Mine (Grandview)	48.1425	-116.5239	160170297	W007822	260
SA 266	Black Jack Mine (Dakota; Silver Butte; Talache; North Dakota)	48.1406	-116.5003	160170191	W026802	278
SA 267	Talache Mine (Keystone; Armstead; Brown Bear; Little Joe; B.F. & H.; B R and B; Rainbow Tunnel; Silver Hill; B.F.H.; B.H. & F.; B.H.F.; Blacktail)	48.1397	-116.4833	160170113	W007748	276
SA 268	Surprise Mine	48.1336	-116.5092	160170372	W026800	262
SA 269	Blue Bird Mine (Bluebird; Nameloc Lode)	48.1333	-116.4867	160170115	W007758	275
SA 271	Anderson Prospect (Peak Lode; Old Cabin)	48.1289	-116.5042	160170375	W026799	263
SA 272	Snowbird Mine	48.1231	-116.5064	160170394	W026797	265
SA 273	Better Times Prospect	48.1242	-116.5047	160170393	W026798	264
SA 274	Wisconsin Prospect (Mariposa)	48.1256	-116.4814	160170120	W026796	274
SA 275	O'Shaughnessy Prospect	48.1	-116.5094	160170376	N/A	266
SA 277	Maiden Rock	48.1	-116.505	160170290	N/A	270
SA 278	American Eagle Prospect (Blacktail Mtn.)	48.0886	-116.5219	160170117	W007755	268
SA 279	M B Prospect (M.B.)	48.0772	-116.5303	160170119	W026795	269
SA 280	Glowing Rock Prospect	48.0572	-116.5428	160170006	W007796	316
SA 281	Unnamed location	48.0253	-116.5597	160170147	N/A	314
SA 282	Carywood Tungsten Prospect (Bonner County Tungsten Occurrence)	48.0275	-116.5725	160170004	W007552	313
SA 283	Cape Horn Prospect	48.0081	-116.6172	160170259	W007762	310
SA 286	Green Monarch Prospect	48.1261	-116.3339	160170125	W007779	288
SA 287	Welch-Shipley	48.1117	-116.3358	160170306	N/A	290
SA 288	June Bug Prospect	48.1236	-116.2969	160170126	W007789	289
SA 289	Moss Prospect	48.1378	-116.2306	160170134	W012859	295
SA 290	Snow Slide	48.1067	-116.2064	160170302	N/A	296
SA 291	Bumble Bee Prospect (Middle Mtn. Copper Mining and Milling Co.; Sinnemaki Prospect)	48.1039	-116.2525	160170135	W007745	294
SA 294	Packsaddle Prospect (Whalen Mine)	48.0806	-116.3922	160170128	W007819	281
SA 295	Weisenberger Prospect (Wisenberger	48.0786	-116.4192	160170123	W007526	282
SA 296	Minerva Mine (Homestake)	48.0731	-116.4108	160170124	W007810	285
SA 297	Valid Mine	48.0717	-116.4161	160170378	N/A	284
SA 299	Falls Creek Prospect	48.0603	-116.4028	160170149	W007794	318
SA 303	Carpie Prospect (Copper Point 1 & 2)	48.0906	-116.0756	160170141	W007743	306
SA 304	Cabinet	48.0764	-116.135	160170142	N/A	307
SP   1	Twin Creek Lime Quarry	47.9961	-116.4261	N/A	N/A	337
SP   2	North Light	47.9944	-116.6031	160170221	N/A	1
SP   3	Ordway Tungsten	47.9914	-116.5497	160550002	N/A	2
SP   4	Blue Slide Lime Placer (Old Limestone Quarry; Portrock; R & N; Cement Mine; Blue Slide Lime; Squaw Bay Limestone)	47.9886	-116.4381	160170013	W019541	4
SP   6	Vulcan Mine (Glasscock Property; Argus)	47.9808	-116.4314	160170067	W019430	5
SP   8	Dixie Queen Prospect (Sonny Boy)	47.9711	-116.3669	160170077	W019440	9
SP   9	Blanket Lead (Blanket Ledge)	47.9725	-116.4397	160170392	W019555	7
SP  10	Lakeview Limestone Quarries	47.9678	-116.46	160170396	N/A	321
SP  11	Gold Creek Iron Deposit	47.9519	-116.4647	160170062	W019495	10
SP  13	Hidden Treasure Mine (Grafter)	47.9492	-116.4389	160170269	W019492	11
SP  14	Max Dunn Prospect	47.9164	-116.4472	160170068	W019432	16
SP  15	Wiberg	47.9219	-116.4606	160170282	N/A	14
SP  16	Silver Leaf Group Prospect	47.9228	-116.4039	160170076	W019439	21
SP  17	Perry Mine	47.9181	-116.4178	160170288	W019546	20
SP  18	Conjecture Mine	47.9156	-116.4306	160170069	W019433	19
SP  19	Idaho Lakeview Mine (Venezuela; Hewer; Western Adventure; Vensuela)	47.9139	-116.4739	160170072	W019436	17
SP  21	Keep Cool Mine	47.9078	-116.4439	160170070	W019434	18
SP  22	Princess Panama (Shooneah Mining Co., Ltd.; Swastika)	47.9061	-116.4614	160170284	N/A	15
SP  23	Bellville Prospect (Belleville Prospect)	47.9044	-116.4633	160170073	W019437	22
SP  24	New Rainbow (Rainbow; Silver Bull; Silver Bell)	47.9058	-116.4281	160170074	N/A	13
SP  25	Weber Mine (New Rainbow Mine; Webber; Rainbow)	47.9031	-116.4319	160170389	W019438	24
SP  26	Avon (Bard Mining & Milling Co.)	47.8969	-116.3408	N/A	N/A	306
SP  27	Rennie Prospect (Robert Rennie; Comet)	47.9003	-116.4256	160170071	W019435	23
