"Problem","DateModified","Initials","SequenceNumber","NEWLOC","MAPLOC","DEPOSIT","Latitude","Longitude","Location_type","DMSLAT","DMSLONG","24kquad","100kQuad","CountyName","LandOwner","FSAgencyName","OrangeNum","1x2degreeQuadrangle","lon_WGS84","lat_WGS84","TOWNSHIP","RANGE","SECTION","QSECTION","OBJECTID","ZIP_CODE","Mining_District","Hard_File"
,,,"AS0011","AS0011","  11","Unnamed coal deposit",44.5511,-111.6631,0,443304,1113947,"UPPER RED ROCK LAKE","HEBGEN LAKE ","CLARK","U.S. Forest Service","Targhee NF","9","AS",-111.663794778,44.550959121,"014N","041E",7,"SE",11,83446,"","NO"
,,,"AS0012","AS0012","  12","Bald Mountain Phosphate Deposit (Area No. 4 Phosphate Deposit)",44.55194,-111.65806,3,443307,1113929,"UPPER RED ROCK LAKE","HEBGEN LAKE ","CLARK","U.S. Forest Service","Targhee NF","10","AS",-111.658754644,44.5517991459,"014N","041E",7,"SE",12,83446,"","NO"
,,,"AS0013","AS0013","  13","South Slope Taylor Creek Phosphate Deposit (Area No. 3 Phosphate Deposit)",44.52734,-111.67205,3,443138,1114019,"UPPER RED ROCK LAKE","HEBGEN LAKE ","CLARK","U.S. Forest Service","Targhee NF","13","AS",-111.672744753,44.5271992315,"014N","041E",19,"NW",13,83446,"","NO"
,,,"AS0014","AS0014","  14","Carrot Ridge Area Phosphate Deposit (Area No. 1 Phosphate Deposit)",44.53306,-111.6525,3,443159,1113909,"UPPER RED ROCK LAKE","HEBGEN LAKE ","CLARK","U.S. Forest Service","Targhee NF","14","AS",-111.653194259,44.53291931059999,"014N","041E",17,"SW",14,83446,"","NO"
,,,"AS0015","AS0015","  15","Tanner Manganese Prospect",44.55333,-111.70528,3,443312,1114219,"UPPER RED ROCK LAKE","HEBGEN LAKE ","CLARK","U.S. Forest Service","Targhee NF","11","AS",-111.705976017,44.5531888488,"014N","040E",11,"SE",15,83446,"","YES"
,,,"AS0016","AS0016","  16","Tin Cup #1-6",44.5542,-111.5428,0,443315,1113234,"MOUNT JEFFERSON","HEBGEN LAKE ",,"Private",,"12","AS",-111.543491356,44.5540598296,"","",,"",16,,"","NO"
,,,"AS0017","AS0017","  17","Unnamed mine (Blue Ledge Mining Company)",44.43611,-111.99472,3,442610,1115941,"KILGORE","ASHTON ","CLARK","U.S. Forest Service","Targhee NF","15","AS",-111.995422916,44.43596790239999,"013N","038E",21,"NW",17,83446,"","NO"
,,,"AS0018","AS0018","  18","Blue Ledge Mining Company",44.43361,-111.99222,3,442601,1115932,"KILGORE","ASHTON ","CLARK","U.S. Forest Service","Targhee NF","16","AS",-111.992922815,44.4334679358,"013N","038E",21,"NW",18,83446,"","YES"
,,,"AS0019","AS0019","  19","Unnamed prospects",44.42972,-111.99472,3,442547,1115941,"KILGORE","ASHTON ","CLARK","U.S. Forest Service","Targhee NF","17","AS",-111.99542284,44.4295779484,"013N","038E",28,"NW",19,83446,"","NO"
,,,"AS0020","AS0020","  20","Unnamed prospect",44.42417,-111.97917,3,442527,1115845,"KILGORE","ASHTON ","CLARK","U.S. Forest Service","Targhee NF","18","AS",-111.979872328,44.424028084,"013N","038E",27,"NW",20,83446,"","NO"
,,,"AS0021","AS0021","  21","Swan Butte",44.3072,-111.9178,0,441826,1115504,"IDMON","ASHTON ","CLARK","Idaho Department of Lands",,"19","AS",-111.918499179,44.30705931639999,"011N","038E",1,"SE",21,83446,"","NO"
,,,"AS0022","AS0022","  22","Crystal Butte",44.2928,-111.7006,0,441734,1114202,"CRYSTAL BUTTE","ASHTON ","FREMONT","Private",,"20","AS",-111.701292799,44.2926607468,"011N","040E",11,"SE",22,83445,"","NO"
,,,"AS0023","AS0023","  23","High Point Butte Cinder Occurrence",44.2669,-111.5492,0,441601,1113257,"BISHOP MOUNTAIN","ASHTON ","FREMONT","U.S. Forest Service","Targhee NF","21","AS",-111.549888163,44.26676185509999,"011N","042E",19,"SW",23,83445,"","NO"
,,,"AS0024","AS0024","  24","Wyoming Creek Volcanic Cinder Deposit",44.13167,-111.04944,3,440754,1110258,"BECHLER FALLS","ASHTON ","FREMONT","U.S. Forest Service","Targhee NF","22","AS",-111.05011229,44.131535856,"009N","046E",5,"SW",24,83420,"","NO"
,,,"AS0025","AS0025","  25","Lava Oil Co.",44.05722,-111.55611,3,440326,1113322,"LEMON LAKE","ASHTON ","FREMONT","Private",,,"AS",-111.556795927,44.0570834243,"008N","042E",6,"NW",25,83420,"","YES"
,,,"AS0026","AS0026","  26","Cinder Pits",44.02528,-111.82083,3,440131,1114915,"BIG GRASSY RIDGE SE","ASHTON ","FREMONT","Private",,"23","AS",-111.821523099,44.02514208029999,"008N","039E",14,"NE",26,83445,"","NO"
,,,"AS0027","AS0027","  27","Dry Fork Garnet Prospect",44.66222,-111.32194,3,443944,1111919,"TARGHEE PASS","HEBGEN LAKE ","FREMONT","Idaho Department of Lands","Targhee NF",,"AS",-111.322626267,44.6620804296,"016N","043E",36,"SE",27,83429,"",
,,,"AS0028","AS0028","  28","Lynx Prospect",44.6506,-111.3375,0,443902,1112015,"TARGHEE PASS","HEBGEN LAKE ","FREMONT","Private","Targhee NF",,"AS",-111.338186579,44.65046041359999,"015N","043E",2,"SE",28,83429,"",
,,,"BA0001","BA0001","   1","Indian Creek",45.04861,-116.7675,3,450255,1164603,"HOMESTEAD","RIGGINS ","ADAMS","U.S. Forest Service",,"1","BA",-116.768345786,45.04843134319999,"020N","004W",25,"NE",29,83612,"Seven Devils","YES"
,,,"BA0002","BA0002","   2","Unnamed location",44.9764,-116.8258,0,445835,1164933,"OXBOW","McCALL ","ADAMS","U.S. Bureau of Land Management",,"143","BA",-116.826646341,44.97622138729999,"019N","004W",21,"NE",30,83612,"Seven Devils","NO"
,,,"BA0003","BA0003","   3","Lucky Strike Mine",44.9761,-116.8186,0,445834,1164907,"OXBOW","McCALL ","ADAMS","U.S. Bureau of Land Management",,"2","BA",-116.819446137,44.9759214427,"019N","004W",22,"NW",31,83612,"Seven Devils","NO"
,,,"BA0004","BA0004","   4","Rebound",44.9003,-116.6247,0,445401,1163729,"WEASEL GULCH","McCALL ","ADAMS","U.S. Forest Service","Payette NF","3","BA",-116.625539648,44.9001233841,"018N","002W",18,"NE",32,83612,"","NO"
,,,"BA0005","BA0005","   5","Black Jack Nos. 1 & 2",44.8922,-116.6447,0,445332,1163841,"ROCKY COMFORT FLAT","McCALL ","ADAMS","U.S. Forest Service","Payette NF","144","BA",-116.645540085,44.89202329219999,"018N","003W",13,"SE",33,83612,"","NO"
,,,"BA0006","BA0006","   6","North Hornet Mine",44.89083,-116.63833,3,445327,1163818,"ROCKY COMFORT FLAT","McCALL ","ADAMS","U.S. Forest Service","Payette NF","4","BA",-116.639169888,44.89065334839999,"018N","003W",13,"SE",34,83612,"","YES"
,,,"BA0007","BA0007","   7","Summit Placers",44.8792,-116.6281,0,445245,1163741,"ROCKY COMFORT FLAT","McCALL ","ADAMS","U.S. Forest Service","Payette NF","6","BA",-116.628939435,44.879023503,"018N","002W",19,"SW",35,83612,"","NO"
,,,"BA0008","BA0008","   8","Inspiration Barite Deposit (Council Barite)",44.90833,-116.52472,3,445430,1163129,"WEASEL GULCH","McCALL ","ADAMS","U.S. Forest Service","Payette NF","141","BA",-116.525556988,44.90815406359999,"018N","002W",12,"SW",36,83612,"","YES"
,,,"BA0009","BA0009","   9","Hornet Creek Prospect (Peck Mountain; North Hornet Creek; Deck Mountain)",44.8756,-116.5939,0,445232,1163538,"WEASEL GULCH","McCALL ","ADAMS","U.S. Forest Service","Payette NF","5","BA",-116.594738434,44.87542377889999,"018N","002W",21,"SW",37,83612,"Hornet Creek","YES"
,,,"BA0010","BA0010","  10","Red Iron",44.8536,-116.6031,0,445113,1163611,"PECK MOUNTAIN","McCALL ","ADAMS","U.S. Forest Service","Payette NF","7","BA",-116.60393837,44.8534238624,"018N","002W",32,"NE",38,83612,"Hornet Creek","NO"
,,,"BA0011","BA0011","  11","Idaho",44.7975,-116.6375,0,444751,1163815,"CROOKED RIVER POINT","McCALL ","WASHINGTON","Idaho Department of Lands",,"142","BA",-116.63833851,44.79732399949999,"017N","003W",24,"NE",39,83610,"Cuddy Mountain","NO"
,,,"BA0012","BA0012","  12","Red Boy and Lucky Star (Lucky Star)",44.7883,-116.6392,0,444718,1163821,"CROOKED RIVER POINT","McCALL ","WASHINGTON","Idaho Department of Lands",,"177","BA",-116.640038424,44.78812405159999,"017N","003W",24,"SE",40,83610,"Cuddy Mountain","NO"
,,,"BA0013","BA0013","  13","Kismet Prospect",44.80194,-116.69028,3,444807,1164125,"CROOKED RIVER POINT","McCALL ","WASHINGTON","Idaho Department of Lands",,"25","BA",-116.691120036,44.80176358049999,"017N","003W",22,"NW",41,83610,"Cuddy Mountain","NO"
,,,"BA0014","BA0014","  14","Unnamed prospect",44.8217,-116.7264,0,444918,1164335,"CROOKED RIVER POINT","McCALL ","WASHINGTON","U.S. Forest Service","Payette NF","28","BA",-116.727241324,44.8215231766,"017N","003W",8,"SW",42,83610,"","NO"
,,,"BA0015","BA0015","  15","Cuddy Mine (Freeze Prospect; Cuddy Mountain Mine; Last Chance)",44.81083,-116.73278,3,444839,1164358,"CROOKED RIVER POINT","McCALL ","WASHINGTON","U.S. Forest Service","Payette NF","26","BA",-116.733621342,44.8106532055,"017N","003W",17,"NW",43,83610,"","YES"
,,,"BA0016","BA0016","  16","Scrivens Lead Prospect",44.8203,-116.7456,0,444913,1164444,"CROOKED RIVER POINT","McCALL ","WASHINGTON","U.S. Forest Service","Payette NF","29","BA",-116.746441835,44.82012304489999,"017N","003W",7,"SE",44,83610,"","NO"
,,,"BA0017","BA0017","  17","Lead Zone Mine (Keystone; Galena; Salena; Galena Mountain)",44.81861,-116.75889,3,444907,1164532,"CUDDY MOUNTAIN","McCALL ","WASHINGTON","Private","Payette NF","30","BA",-116.759732178,44.81843295869999,"017N","004W",12,"SE",45,83610,"","YES"
,,,"BA0018","BA0018","  18","Edna May Prospect (Snowslide; Mundee Mines)",44.80444,-116.76583,3,444816,1164557,"CUDDY MOUNTAIN","McCALL ","WASHINGTON","U.S. Forest Service","Payette NF","31","BA",-116.766672164,44.8042630066,"017N","004W",13,"SE",46,83610,"","YES"
,,,"BA0019","BA0019","  19","Riley Prospect (J. C. Riley)",44.7858,-116.7811,0,444709,1164652,"CUDDY MOUNTAIN","McCALL ","WASHINGTON","U.S. Forest Service","Payette NF","34","BA",-116.781942315,44.785623025,"017N","004W",26,"NE",47,83610,"","NO"
,,,"BA0020","BA0020","  20","Thor Property (Jug Group)",44.77806,-116.81361,3,444641,1164849,"CUDDY MOUNTAIN","McCALL ","WASHINGTON","U.S. Forest Service","Payette NF","33","BA",-116.814453102,44.7778828397,"017N","004W",27,"SW",48,83610,"","NO"
,,,"BA0021","BA0021","  21","Dukes Creek",44.8278,-116.8808,0,444940,1165251,"BROWNLEE DAM","McCALL ","WASHINGTON","Idaho Fish and Game",,"156","BA",-116.881645685,44.8276219937,"017N","005W",12,"NE",49,83610,"","NO"
,,,"BA0022","BA0022","  22","Brownlee Manganese Prospect (Brownlee Creek Deposit)",44.7894,-116.8642,0,444722,1165151,"CUDDY MOUNTAIN","McCALL ","WASHINGTON","U.S. Forest Service","Payette NF","40","BA",-116.865044665,44.7892223858,"017N","004W",19,"SE",50,83610,"","NO"
,,,"BA0023","BA0023","  23","Grade Creek Prospect (Mammoth Mine; Montezuma)",44.7742,-116.8442,0,444627,1165039,"CUDDY MOUNTAIN","McCALL ","WASHINGTON","U.S. Forest Service","Payette NF","48","BA",-116.845043891,44.7740226411,"017N","004W",29,"SE",51,83610,"","NO"
,,,"BA0024","BA0024","  24","Hercules Group",44.76556,-116.85972,3,444556,1165135,"CUDDY MOUNTAIN","McCALL ","WASHINGTON","U.S. Bureau of Land Management",,"50","BA",-116.860564194,44.76538258759999,"017N","004W",31,"SE",52,83610,"","YES"
,,,"BA0025","BA0025","  25","Houlahan Property (Alex Houlahan's Property)",44.76639,-116.85806,3,444559,1165129,"CUDDY MOUNTAIN","McCALL ","WASHINGTON","U.S. Bureau of Land Management",,"49","BA",-116.85890416,44.766212594,"017N","004W",31,"SE",53,83610,"","NO"
,,,"BA0026","BA0026","  26","Metheny Prospect (Matheny Prospect)",44.76194,-116.83917,3,444543,1165021,"CUDDY MOUNTAIN","McCALL ","WASHINGTON","U.S. Forest Service","Payette NF","47","BA",-116.840013574,44.7617627652,"017N","004W",32,"SE",54,83610,"","YES"
,,,"BA0027","BA0027","  27","Belmont Mine",44.75361,-116.85278,3,444513,1165110,"CUDDY MOUNTAIN","McCALL ","WASHINGTON","Idaho Fish and Game",,"46","BA",-116.853623828,44.7534327239,"016N","004W",5,"NW",55,83610,"","NO"
,,,"BA0028","BA0028","  28","Unnamed location (Iron Cap; Big Cut)",44.75306,-116.83056,3,444511,1164950,"CUDDY MOUNTAIN","McCALL ","WASHINGTON","U.S. Forest Service","Payette NF","45","BA",-116.831403207,44.75288289189999,"016N","004W",4,"NW",56,83610,"","NO"
,,,"BA0029","BA0029","  29","Unnamed location",44.74833,-116.82389,3,444454,1164926,"ADVENT GULCH","McCALL ","WASHINGTON","U.S. Forest Service","Payette NF","43","BA",-116.824732954,44.7481529748,"016N","004W",4,"SE",57,83610,"Cuddy Mountain","NO"
,,,"BA0030","BA0030","  30","Four V Prospect",44.7572,-116.8119,0,444526,1164843,"CUDDY MOUNTAIN","McCALL ","WASHINGTON","U.S. Forest Service","Payette NF","44","BA",-116.812742751,44.75702300019999,"016N","004W",3,"NW",58,83610,"Cuddy Mountain","NO"
,,,"BA0031","BA0031","  31","Unnamed location",44.76,-116.79472,3,444536,1164741,"CUDDY MOUNTAIN","McCALL ","WASHINGTON","U.S. Forest Service",,"37","BA",-116.795562317,44.759823107,"017N","004W",35,"SW",59,83610,"Cuddy Mountain","NO"
,,,"BA0032","BA0032","  32","Railroad Mine (Held Mine; Heald)",44.7625,-116.79306,3,444545,1164735,"CUDDY MOUNTAIN","McCALL ","WASHINGTON","Private","Payette NF","36","BA",-116.793902307,44.76232310149999,"017N","004W",35,"SW",60,83610,"Cuddy Mountain","YES"
,,,"BA0033","BA0033","  33","East Brownlee Creek Prospects",44.7525,-116.82583,3,444509,1164933,"CUDDY MOUNTAIN","McCALL ","WASHINGTON","U.S. Forest Service","Payette NF","38","BA",-116.826673068,44.7523229308,"016N","004W",4,"SE",61,83610,"","YES"
,,,"BA0034","BA0034","  34","I.X.L. Mine  (IXLX)",44.73972,-116.78056,3,444423,1164650,"ADVENT GULCH","McCALL ","WASHINGTON","U.S. Forest Service","Payette NF","39","BA",-116.781401631,44.7395433558,"016N","004W",11,"NE",62,83610,"Cuddy Mountain","YES"
,,,"BA0035","BA0035","  35","Climax Prospect",44.7325,-116.8131,0,444357,1164847,"ADVENT GULCH","McCALL ","WASHINGTON","U.S. Forest Service","Payette NF","42","BA",-116.813942425,44.7323231675,"016N","004W",10,"SW",63,83610,"Cuddy Mountain","NO"
,,,"BA0036","BA0036","  36","Iron Prospect",44.7289,-116.8044,0,444344,1164816,"ADVENT GULCH","McCALL ","WASHINGTON","U.S. Forest Service","Payette NF","41","BA",-116.805242133,44.72872325749999,"016N","004W",15,"NE",64,83610,"Cuddy Mountain","NO"
,,,"BA0037","BA0037","  37","Rush Creek Copper Occurrence",44.7,-116.7381,0,444200,1164417,"RUSH PEAK","McCALL ","WASHINGTON","U.S. Forest Service","Payette NF","51","BA",-116.738939883,44.69982395349999,"016N","003W",30,"NE",65,83610,"","NO"
,,,"BA0038","BA0038","  38","Goodrich Creek Canyon Prospect",44.7136,-116.6097,0,444249,1163635,"GOODRICH","McCALL ","ADAMS","U.S. Forest Service","Payette NF","24","BA",-116.610536529,44.713424798,"016N","002W",20,"NW",66,83612,"Cuddy Mountain","NO"
,,,"BA0039","BA0039","  39","Sturgill Bar Placer (Sturgill Creek Placer; Last Chance)",44.69639,-117.06556,3,444147,1170356,"STURGILL CREEK","BAKER ","WASHINGTON","U.S. Bureau of Land Management",,"53","BA",-117.066408863,44.6962115585,"016N","006W",28,"NE",67,83610,"","YES"
,,,"BA0040","BA0040","  40","Reilly Manganese Prospect",44.6906,-117.0425,0,444126,1170233,"STURGILL CREEK","BAKER ","WASHINGTON","Idaho Department of Lands",,"52","BA",-117.043348144,44.69042177199999,"016N","006W",27,"SE",68,83610,"","NO"
,,,"BA0041","BA0041","  41","Sturgill Creek Mine (Adams' Sturgill Creek Property)",44.6769,-117.0497,0,444037,1170259,"STURGILL CREEK","BAKER ","WASHINGTON","Private",,"54","BA",-117.050548142,44.6767218183,"016N","006W",34,"SW",69,83610,"","NO"
,,,"BA0042","BA0042","  42","Johnson Bar (Zinnia)",44.6719,-117.0806,0,444019,1170450,"STURGILL CREEK","BAKER ","WASHINGTON","U.S. Bureau of Land Management",,"197","BA",-117.08144892,44.67172162529999,"015N","006W",5,"NE",70,83672,"","NO"
,,,"BA0043","BA0043","  43","Sheep Creek Property (Adams' Sheep Creek Property)",44.6572,-117.0864,0,443926,1170511,"STURGILL CREEK","BAKER ","WASHINGTON","U.S. Bureau of Land Management",,"55","BA",-117.087248865,44.6570216899,"015N","006W",8,"NE",71,83672,"","NO"
,,,"BA0044","BA0044","  44","Golden Grain Placer (Nagging Wife Placer)",44.6411,-117.0981,0,443828,1170553,"STURGILL CREEK","BAKER ",,"Private",,"196","BA",-117.098948952,44.6409217215,"","",,"",72,,"","NO"
,,,"BA0045","BA0045","  45","Smith #3",44.6181,-117.1153,0,443705,1170655,"MONROE BUTTE","BAKER ","WASHINGTON","Open water",,"198","BA",-117.11614909,44.61792176389999,"","",,"",73,83672,"Mineral","NO"
,,,"BA0046","BA0046","  46","J. G. Hill Prospect",44.6153,-117.1028,0,443655,1170610,"MONROE BUTTE","BAKER ","WASHINGTON","Private",,"56","BA",-117.103648705,44.6151218776,"015N","006W",19,"SE",74,83672,"Mineral","NO"
,,,"BA0047","BA0047","  47","Virginia L. Claims (Lackey Mine)",44.5964,-117.1181,0,443547,1170705,"MONROE BUTTE","BAKER ","WASHINGTON","U.S. Bureau of Land Management",,"57","BA",-117.118948851,44.59622190469999,"015N","006W",31,"NW",75,83672,"Mineral","NO"
,,,"BA0048","BA0048","  48","Submarine Placer",44.58389,-117.12167,3,443502,1170718,"MONROE BUTTE","BAKER ","WASHINGTON","Open water",,"204","BA",-117.122518767,44.5837119718,"","",,"",76,83672,"Mineral","YES"
,,,"BA0049","BA0049","  49","Rock Island Gypsum",44.5325,-117.08694,3,443157,1170513,"MONROE BUTTE","BAKER ","WASHINGTON","U.S. Bureau of Land Management",,"58","BA",-117.087787066,44.53232261749999,"014N","006W",20,"SE",77,83672,"Mineral","YES"
,,,"BA0050","BA0050","  50","Unnamed location",44.5883,-117.0544,0,443518,1170316,"MONROE BUTTE","BAKER ","WASHINGTON","Private",,"89","BA",-117.055246982,44.5881224382,"015N","006W",34,"SW",78,83672,"Mineral","NO"
,,,"BA0051","BA0051","  51","Liberty Mine",44.575,-117.0722,0,443430,1170420,"MONROE BUTTE","BAKER ","WASHINGTON","Private",,"86","BA",-117.073047278,44.57482240589999,"014N","006W",4,"SW",79,83672,"Mineral","YES"
,,,"BA0052","BA0052","  52","Gypsum Deposit",44.5719,-117.0778,0,443419,1170440,"MONROE BUTTE","BAKER ","WASHINGTON","U.S. Bureau of Land Management",,"88","BA",-117.078647387,44.5717223876,"014N","006W",4,"SW",80,83672,"Mineral","NO"
,,,"BA0053","BA0053","  53","Eagan (Egan Mine)",44.5719,-117.0717,0,443419,1170418,"MONROE BUTTE","BAKER ","WASHINGTON","Private",,"87","BA",-117.072547219,44.5717224329,"014N","006W",4,"SW",81,83672,"Mineral","NO"
,,,"BA0054","BA0054","  54","Boone Mine (Boon)",44.56722,-117.07083,3,443402,1170415,"MONROE BUTTE","BAKER ","WASHINGTON","Private",,"85","BA",-117.071677128,44.5670424745,"014N","006W",9,"NW",82,83672,"Mineral","NO"
,,,"BA0055","BA0055","  55","Enterprise Mine (McCurkle-Shane Mine; McCorkle; McCorkle-Shane; Silver-Cable Mining Co.)",44.56778,-117.06917,3,443404,1170409,"MONROE BUTTE","BAKER ","WASHINGTON","Private",,"84","BA",-117.07001709,44.56760248259999,"014N","006W",9,"NE",83,83672,"Mineral","NO"
,,,"BA0056","BA0056","  56","Tate Prospect",44.5686,-117.0569,0,443407,1170325,"MONROE BUTTE","BAKER ","WASHINGTON","U.S. Bureau of Land Management",,"80","BA",-117.057746765,44.5684225674,"014N","006W",10,"NW",84,83672,"Mineral","NO"
,,,"BA0057","BA0057","  57","Gold Peak",44.56361,-117.06917,3,443349,1170409,"MONROE BUTTE","BAKER ","WASHINGTON","U.S. Bureau of Land Management",,"83","BA",-117.07001703,44.563432514,"014N","006W",9,"SE",85,83672,"Mineral","NO"
,,,"BA0059","BA0059","  59","Condor (Con Dor; Jessie)",44.56389,-117.05972,3,443350,1170335,"MONROE BUTTE","BAKER ","WASHINGTON","U.S. Bureau of Land Management",,"81","BA",-117.060566774,44.56371258199999,"014N","006W",9,"SE",86,83672,"Mineral","YES"
,,,"BA0060","BA0060","  60","Mariah (Black Maria; Maria Mine; Black Mariah)",44.56306,-117.07056,3,443347,1170414,"MONROE BUTTE","BAKER ","WASHINGTON","U.S. Bureau of Land Management",,"79","BA",-117.07140706,44.5628825078,"014N","006W",9,"SW",87,83672,"Mineral","NO"
,,,"BA0061","BA0061","  61","Black Hawk Mine",44.56194,-117.06694,3,443343,1170401,"MONROE BUTTE","BAKER ","WASHINGTON","U.S. Bureau of Land Management",,"78","BA",-117.067786944,44.5617625431,"014N","006W",9,"SE",88,83672,"Mineral","NO"
,,,"BA0062","BA0062","  62","Silver Still Mine (North Star Property; Addie; Sam and Eagle Group; Sam Group; Eagle Group)",44.56139,-117.06194,3,443341,1170343,"MONROE BUTTE","BAKER ","WASHINGTON","U.S. Bureau of Land Management",,"77","BA",-117.062786799,44.56121258429999,"014N","006W",9,"SE",89,83672,"Mineral","YES"
,,,"BA0063","BA0063","  63","King Prospect (Silver King)",44.5572,-117.0589,0,443326,1170332,"MONROE BUTTE","BAKER ","WASHINGTON","U.S. Bureau of Land Management",,"76","BA",-117.059746654,44.55702263849999,"014N","006W",15,"NW",90,83672,"Mineral","NO"
,,,"BA0064","BA0064","  64","Silver Bell (Bell Mine)",44.55556,-117.05694,3,443320,1170325,"MONROE BUTTE","BAKER ","WASHINGTON","U.S. Bureau of Land Management",,"75","BA",-117.057786577,44.5553826654,"014N","006W",15,"NW",91,83672,"Mineral","YES"
,,,"BA0065","BA0065","  65","Black Jack Prospect",44.5522,-117.0553,0,443308,1170319,"MONROE BUTTE","BAKER ","WASHINGTON","Private",,"74","BA",-117.056146483,44.5520227029,"014N","006W",15,"NW",92,83672,"Mineral","NO"
,,,"BA0066","BA0066","  66","Azurite Prospect (Salyer)",44.5606,-117.0492,0,443338,1170257,"MONROE BUTTE","BAKER ","WASHINGTON","U.S. Bureau of Land Management",,"73","BA",-117.050046437,44.56042268469999,"014N","006W",10,"SW",93,83672,"Mineral","NO"
,,,"BA0067","BA0067","  67","Dennett Creek Prospect",44.5683,-117.0433,0,443406,1170236,"MONROE BUTTE","BAKER ","WASHINGTON","Private",,"72","BA",-117.044146387,44.5681226705,"014N","006W",10,"NE",94,83672,"Mineral","NO"
,,,"BA0068","BA0068","  68","Iron Mountain Gypsum (Gypsum Mine; Surface Mine; Silver Still Gypsum; Consumers Cooperative Association; Consumer Cooperative)",44.56917,-117.03528,3,443409,1170207,"MONROE BUTTE","BAKER ","WASHINGTON","U.S. Forest Service","Payette NF","71","BA",-117.036126179,44.56899272339999,"014N","006W",11,"NW",95,83672,"Mineral","YES"
,,,"BA0069","BA0069","  69","Abundance Mine",44.5667,-117.015,0,443400,1170054,"MONROE BUTTE","BAKER ","WASHINGTON","Private",,"70","BA",-117.015845585,44.5665228921,"014N","006W",12,"NW",96,83672,"Mineral","NO"
,,,"BA0070","BA0070","  70","Campbell Magnetite Deposit (Barton; Siegwein Claims; Campbell Deposit; Iron Mountain-Mortimer Mine)",44.5628,-117.0122,0,443346,1170044,"MONROE BUTTE","BAKER ","WASHINGTON","U.S. Forest Service",,"69","BA",-117.013045452,44.56262294219999,"014N","006W",12,"SW",97,83672,"Mineral","NO"
