"SequenceNumber","Ref_id","PageNumbers","Reference","NotesForReferenceUpdate2015"
"BA0106",432,,"Fryklund, 1951, Am. Mineralogist, v. 36, no. 9-10.",
"BA0107",1569,,"USGS, McCall 7.5-min. quad. topo. map.",
"BA0108",1569,,"USGS, McCall 7.5-min. quad. topo. map.",
"BA0109",960,,"Storch and Holt, 1963, USBM RI-6319.",
"BA0110",1037,,"USBM, n.d., USBM WFOC Mineral Property Files.",
"BA0111",137,"174-181","Carter and Savage, 1964, in IBMG SR-1.",
"BA0112",1548,,"USGS, Lake Fork 7.5-min. quad. topo. map.",
"BA0113",1095,,"USBM, n.d., WFOC MPF-21.086.",
"BA0114",116,,"Campbell, 1931, 32nd Ann. Rept. of Mining Ind. of Idaho for 1930.",
"BA0115",433,,"Fryklund, 1951, IBMG P-91.",
"BA0116",433,,"Fryklund, 1951, IBMG P-91.",
"BA0117",108,,"Campbell, 1923, 24th Ann. Rept. of Mining Ind. of Idaho for 1922.",
"BA0118",767,,"No reference.",
"BA0119",1264,,"USBM, n.d., WFOC MPF-55.038.",
"BA0120",965,,"Storch, 1958, USBM RI-5395.",
"BA0121",1472,,"USGS, Cascade 15-min. quad. topo. map.",
"BA0122",961,,"Storch and Robertson, 1954, US Atomic Energy Comm. Rept. RME-3132.",
"BA0123",838,,"Peters, 1993, USBM OFR MLA 2-93.",
"BA0124",1034,,"USBM, n.d., USBM files.",
"BA0125",111,,"Campbell, 1926, 27th Ann. Rept. of Mining Ind. of Idaho for 1925.",
"BA0126",1257,,"USBM, n.d., WFOC MPF-55.030.",
"BA0127",1081,,"USBM, n.d., WFOC MPF-21.030.",
"BA0128",846,,"Powers, 1947, IBMG Mineral Resources Rept. 4.",
"BA0129",1229,,"USBM, n.d., WFOC MPF-43.010.",
"BA0130",1015,,"USBM, 1973, USBM Liaison Office Rept. of Mining Operations of Idaho for 1972.",
"BA0131",1152,,"USBM, n.d., WFOC MPF-34.033.",
"BA0132",1018,,"USBM, 1975, USBM Liaison Office Rept. of Mining Operations of Idaho for 1974.",
"BA0133",846,,"Powers, 1947, IBMG Mineral Resources Rept. 4.",
"BA0134",846,,"Powers, 1947, IBMG Mineral Resources Rept. 4.",
"BA0135",846,,"Powers, 1947, IBMG Mineral Resources Rept. 4.",
"BA0136",846,,"Powers, 1947, IBMG Mineral Resources Rept. 4.",
"BA0137",846,,"Powers, 1947, IBMG Mineral Resources Rept. 4.",
"BA0138",767,,"No reference.",
"BA0139",767,,"No reference.",
"BA0140",109,,"Campbell, 1924, 25th Ann. Rept. of Mining Ind. of Idaho for 1923.",
"BA0141",927,,"Skeels, 1920, IBMG B-2.",
"BA0142",116,,"Campbell, 1931, 32nd Ann. Rept. of Mining Ind. of Idaho for 1930.",
"BA0143",927,,"Skeels, 1920, IBMG B-2.",
"BA0144",927,,"Skeels, 1920, IBMG B-2.",
"BA0145",767,,"No reference.",
"BA0146",109,,"Campbell, 1924, 25th Ann. Rept. of Mining Ind. of Idaho for 1923.",
"BA0147",767,,"No reference.",
"BA0148",1116,,"USBM, n.d., WFOC MPF-30.007.",
"DI0158",35,,,
"BA0149",61,,"Bell, 1912, 13th Ann. Rept. of Mining Ind. of Idaho for 1911.",
"BA0150",61,,"Bell, 1912, 13th Ann. Rept. of Mining Ind. of Idaho for 1911.",
"BA0151",881,,"Ross, 1956, USGS B-1042-D.",
"BA0152",767,,"No reference.",
"BA0029",601,,"Livingston, 1925, IBMG P-13.",
"BA0030",957,,"Staley, 1962, IGS Mineral Property Files.",
"BA0031",601,,"Livingston, 1925, IBMG P-13.",
"BA0032",601,,"Livingston, 1925, IBMG P-13.",
"BA0033",421,,"Fankhauser, 1969, Oregon State Univ. M.S. thesis.",
"BA0034",97,,"Bruce, 1971, Oregon State Univ. Ph.D. dissertation.",
"BA0035",421,,"Fankhauser, 1969, Oregon State Univ. M.S. thesis.",
"BA0036",421,,"Fankhauser, 1969, Oregon State Univ. M.S. thesis.",
"BA0037",564,,"King, 1971, Oregon State Univ. M.S. thesis.",
"BA0038",564,,"King, 1971, Oregon State Univ. M.S. thesis.",
"BA0039",952,,"Staley, 1945, IBMG P-72.",
"BA0040",600,,"Livingston, 1919, Univ. of Idaho School of Mines B-2, v. 14.",
"BA0041",600,,"Livingston, 1919, Univ. of Idaho School of Mines B-2, v. 14.",
"BA0042",1034,,"USBM, n.d., USBM files.",
"BA0043",600,,"Livingston, 1919, Univ. of Idaho School of Mines B-2, v. 14.",
"BA0044",1034,,"USBM, n.d., USBM files.",
"BA0045",1034,,"USBM, n.d., USBM files.",
"BA0046",600,,"Livingston, 1919, Univ. of Idaho School of Mines B-2, v. 14.",
"BA0047",881,,"Ross, 1956, USGS B-1042-D.",
"BA0048",122,,"Campbell, 1939, 40th Ann. Rept. of Mining Ind. of Idaho for 1938.",
"BA0049",475,,"Hansen, 1965, 64th Ann. Rept. of Mining Ind. of Idaho for 1963-1964.",
"BA0050",1445,,"USGS, Baker 1 deg. x 2 deg. quad. (AMS) topo. map.",
"BA0051",14,,"Anderson and Wagner, 1952, IBMG P-95.",
"BA0052",1685,,"Withington, 1964, in IBMG SR-1.",
"BA0053",14,,"Anderson and Wagner, 1952, IBMG P-95.",
"BA0054",14,,"Anderson and Wagner, 1952, IBMG P-95.",
"BA0055",14,,"Anderson and Wagner, 1952, IBMG P-95.",
"BA0056",14,,"Anderson and Wagner, 1952, IBMG P-95.",
"BA0057",1272,,"USBM, n.d., WFOC MPF-64.022.",
"BA0055",66,,"Bell, 1919, 20th Ann. Rept. of Mining Ind. of Idaho for 1918.",
"BA0059",14,,"Anderson and Wagner, 1952, IBMG P-95.",
"BA0060",14,,"Anderson and Wagner, 1952, IBMG P-95.",
"BA0061",14,,"Anderson and Wagner, 1952, IBMG P-95.",
"BA0062",14,,"Anderson and Wagner, 1952, IBMG P-95.",
"BA0063",14,,"Anderson and Wagner, 1952, IBMG P-95.",
"BA0064",14,,"Anderson and Wagner, 1952, IBMG P-95.",
"BA0065",14,,"Anderson and Wagner, 1952, IBMG P-95.",
"BA0066",14,,"Anderson and Wagner, 1952, IBMG P-95.",
"BA0067",14,,"Anderson and Wagner, 1952, IBMG P-95.",
"BA0068",483,,"Henricksen, 1974, Oregon State Univ. Ph.D. dissertation.",
"BA0069",612,,"Mackin, 1953, USGS B-982-E.",
"BA0070",612,,"Mackin, 1953, USGS B-982-E.",
"BA0071",612,,"Mackin, 1953, USGS B-982-E.",
"BA0072",612,,"Mackin, 1953, USGS B-982-E.",
"BA0073",612,,"Mackin, 1953, USGS B-982-E.",
"BA0074",483,,"Henricksen, 1974, Oregon State Univ. Ph.D. dissertation.",
"BA0075",767,,"No reference.",
"BA0076",483,,"Henricksen, 1974, Oregon State Univ. Ph.D. dissertation.",
"BA0077",1139,,"USBM, n.d., WFOC MPF-32.001.",
"BA0078",1574,,"USGS, Mineral 15-min. quad. topo. map.",
"BA0078",612,,"Mackin, 1953, USGS B-982-E.",
"BA0081",483,,"Henricksen, 1974, Oregon State Univ. Ph.D. dissertation.",
"BA0082",928,,"Skurla, 1974, Oregon State Univ. M.S. thesis.",
"BA0083",928,,"Skurla, 1974, Oregon State Univ. M.S. thesis.",
"BA0084",928,,"Skurla, 1974, Oregon State Univ. M.S. thesis.",
"BO0421",475,,,
"SA0140",1606,,,
"BO0312",554,,,
"CH1319",587,,,
"HA0196",852,,,
"EC1037",595,,,
"EC1184",510,,,
"BA0085",928,,"Skurla, 1974, Oregon State Univ. M.S. thesis.",
"BA0086",627,,"McDivitt, 1952, IBMG P-93.",
"BA0087",1085,,"USBM, n.d., WFOC MPF-21.059.",
"BA0153",881,,"Ross, 1956, USGS B-1042-D.",
"BA0154",767,,"No reference.",
"BA0155",927,,"Skeels, 1920, IBMG B-2.",
"BA0156",123,,"Campbell, 1940, 41st Ann. Rept. of Mining Ind. of Idaho for 1939.",
"BA0157",1014,,"USBM, 1972, USBM Liaison Office Rept.",
"BA0158",1034,,"USBM, n.d., USBM files.",
"BA0159",846,,"Powers, 1947, IBMG Mineral Resources Rept. 4.",
"BA0161",846,,"Powers, 1947, IBMG Mineral Resources Rept. 4.",
"BA0162",927,,"Skeels, 1920, IBMG B-2.",
"BA0163",881,,"Ross, 1956, USGS B-1042-D.",
"BA0164",24,,"Anderson, 1941, IBMG P-55.",
"BA0165",881,,"Ross, 1956, USGS B-1042-D.",
"BA0166",881,,"Ross, 1956, USGS B-1042-D.",
"BA0167",881,,"Ross, 1956, USGS B-1042-D.",
"BA0168",767,,"No reference.",
"BA0169",117,,"Campbell, 1932, 33rd Ann. Rept. of Mining Ind. of Idaho for 1931.",
"BA0170",93,,"Breckenridge, 1982, IGS Map No. 4.",
"BA0171",893,,"Savage, 1961, IBMG CR-4.",
"BA0172",117,,"Campbell, 1932, 33rd Ann. Rept. of Mining Ind. of Idaho for 1931.",
"BA0173",628,,"McDowell, 1948, 49th Ann. Rept. of Mining Ind. of Idaho for 1947.",
"BA0174",850,,"Prater, 1947, IBMG P-78.",
"BA0175",893,,"Savage, 1961, IBMG CR-4.",
"BA0176",893,,"Savage, 1961, IBMG CR-4.",
"BA0177",110,,"Campbell, 1925, 26th Ann. Rept. of Mining Ind. of Idaho for 1924.",
"BA0178",498,,"Hosterman, 1964, in IBMG SR-1.",
"BA0179",108,,"Campbell, 1923, 24th Ann. Rept. of Mining Ind. of Idaho for 1922.",
"BA0180",1673,,"Washburne, 1911, in USGS B-431-A.",
"BA0181",1592,,"USGS, Payette 7.5-min. quad. topo. map.",
"BA0182",893,,"Savage, 1961, IBMG CR-4.",
"BA0183",93,,"Breckenridge, 1982, IGS Map No. 4.",
"BA0184",121,,"Campbell, 1938, 39th Ann. Rept. of Mining Ind. of Idaho for 1937.",
"BA0185",893,,"Savage, 1961, IBMG CR-4.",
"BA0186",893,,"Savage, 1961, IBMG CR-4.",
"BA0187",893,,"Savage, 1961, IBMG CR-4.",
"BA0188",1034,,"USBM, n.d., USBM files.",
"BA0189",1034,,"USBM, n.d., USBM files.",
"BA0190",1232,,"USBM, n.d., WFOC MPF-43.210.",
"BA0191",833,,"Pattee and others, 1968, USBM RI-7148.",
"BA0192",1070,,"USBM, n.d., WFOC MPF-08.170.",
"BA0193",893,,"Savage, 1961, IBMG CR-4.",
"BA0194",107,,"Campbell, 1922, 23rd Ann. Rept. of Mining Ind. of Idaho for 1921.",
"BA0195",122,,"Campbell, 1939, 40th Ann. Rept. of Mining Ind. of Idaho for 1938.",
"BA0196",1034,,"USBM, n.d., USBM files.",
"BA0197",929,,"Sohn, 1948, IGS Industrial Minerals Files.",
"BA0198",1275,,"USBM, n.d., WFOC MPF-64.600.",
"BA0160",1711,,,
"PR0146",1703,,,
"BO0001",1254,,"USBM, n.d., WFOC MPF-55.026.",
"BO0002",893,,"Savage, 1961, IBMG CR-4.",
"BO0003",893,,"Savage, 1961, IBMG CR-4.",
"BO0004",893,,"Savage, 1961, IBMG CR-4.",
"BO0005",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0006",1034,,"USBM, n.d., USBM files.",
"BO0007",21,,"Anderson, 1934, IBMG P-41.",
"BO0008",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0009",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0010",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0011",91,"245-262","Bowen, 1913, USGS B-531-H.",
"CH1321",1698,,"Mitchell and Bennett, 2006, IGS S-06-2.",
"EC0632",510,,,
"BO0012",1034,,"USBM, n.d., USBM files.",
"BO0013",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0014",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0015",21,,"Anderson, 1934, IBMG P-41.",
"BO0016",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0017",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0018",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0019",21,,"Anderson, 1934, IBMG P-41.",
"BO0020",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0021",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0022",21,,"Anderson, 1934, IBMG P-41.",
"BO0023",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0024",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0025",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0026",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0027",110,,"Campbell, 1925, 26th Ann. Rept. of Mining Ind. of Idaho for 1924.",
"BO0028",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0029",21,,"Anderson, 1934, IBMG P-41.",
"BO0030",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0031",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0032",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0033",21,,"Anderson, 1934, IBMG P-41.",
"BO0034",21,,"Anderson, 1934, IBMG P-41.",
"BO0035",21,,"Anderson, 1934, IBMG P-41.",
"BO0036",21,,"Anderson, 1934, IBMG P-41.",
"BO0037",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0038",926,,"Simons, 1935, 36th Ann. Rept. of Mining Ind. of Idaho for 1934.",
"BO0039",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0040",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0041",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0042",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0043",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0044",21,,"Anderson, 1934, IBMG P-41.",
"BO0045",21,,"Anderson, 1934, IBMG P-41.",
"BO0046",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0047",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0048",738,,"MSHA, 1980, MSHA Mine File Report.",
"BO0049",21,,"Anderson, 1934, IBMG P-41.",
"BO0050",21,,"Anderson, 1934, IBMG P-41.",
"BO0051",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0052",21,,"Anderson, 1934, IBMG P-41.",
"BO0053",21,,"Anderson, 1934, IBMG P-41.",
"BO0054",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0055",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0056",21,,"Anderson, 1934, IBMG P-41.",
"BO0057",21,,"Anderson, 1934, IBMG P-41.",
"BO0058",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0059",21,,"Anderson, 1934, IBMG P-41.",
"BO0060",21,,"Anderson, 1934, IBMG P-41.",
"BO0061",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0062",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0063",1575,,"USGS, Montour 15-min. quad. topo. map.",
"BO0064",21,,"Anderson, 1934, IBMG P-41.",
"BO0065",1034,,"USBM, n.d., USBM files.",
"BO0066",593,,"Lindgren, 1898, 18th Ann. Rept. of the USGS, pt. 3.",
"BO0067",21,,"Anderson, 1934, IBMG P-41.",
"BO0068",1575,,"USGS, Montour 15-min. quad. topo. map.",
"BA0028",510,,,
"BO0069",21,,"Anderson, 1934, IBMG P-41.",
"BO0070",1575,,"USGS, Montour 15-min. quad. topo. map.",
"BO0071",1034,,"USBM, n.d., USBM files.",
"BO0072",1575,,"USGS, Montour 15-min. quad. topo. map.",
"BO0073",1575,,"USGS, Montour 15-min. quad. topo. map.",
"BO0074",21,,"Anderson, 1934, IBMG P-41.",
"BO0075",114,,"Campbell, 1929, 30th Ann. Rept. of Mining Ind. of Idaho for 1928.",
"BO0076",1575,,"USGS, Montour 15-min. quad. topo. map.",
"BO0077",91,"245-262","Bowen, 1913, USGS B-531-H.",
"BO0078",47,,"Asher, 1968, IBMG P-138.",
"BO0079",767,,"No reference.",
"AS0026",1458,,"USGS, Big Grassy Ridge SE 7.5-min. quad. topo. map.",
"BA0001",109,,"Campbell, 1924, 25th Ann. Rept. of Mining Ind. of Idaho for 1923.",
"BA0002",767,,"No reference.",
"BA0003",1100,,"USBM, n.d., WFOC MPF-21.099.",
"BA0004",1019,,"USBM, 1978, USBM Liaison Office Rept. of Mining Operations of Idaho for 1977.",
"BA0005",1225,,"USBM, n.d., WFOC MPF-41.017.",
"BA0006",1686,,"Wracher, 1970, Oregon State Univ. M.S. thesis.",
"BA0007",58,,"Bell, 1906, 7th Ann. Rept. of Mining Ind. of Idaho for 1905.",
"BA0008",439,,"Gammell, 1944, USBM War Minerals Rept.",
"BA0009",599,,"Livingston and Laney, 1920, IBMG B-1.",
"BA0010",58,,"Bell, 1906, 7th Ann. Rept. of Mining Ind. of Idaho for 1905.",
"BA0011",58,,"Bell, 1906, 7th Ann. Rept. of Mining Ind. of Idaho for 1905.",
"BA0012",58,,"Bell, 1906, 7th Ann. Rept. of Mining Ind. of Idaho for 1905.",
"BA0013",97,,"Bruce, 1971, Oregon State Univ. Ph.D. dissertation.",
"BA0014",1489,,"USGS, Crooked River Point 7.5-min. quad. topo. map.",
"BA0015",601,,"Livingston, 1925, IBMG P-13.",
"BA0016",1156,,"USBM, n.d., WFOC MPF-37.013.",
