"Reference_ID","Title","YearDate","In","SecondTitle","SecondTitleDate","abstract","Publisher","nd","publisherAbbv","pubCity","pubState","volume","number","edition","Institution","Series_Type","PubNumber","PageCount","PlateCount","SheetCount","Scale","Pages","Hyperlink","YearHyperlink","Anno","EnterDate","EditDate","Initials","Notes","OldReference","Pub_ID","Origin","URL_INTRA","Folder","FileName","URL","URL_Year"
19,"The Geology and Mineral Resources of the Region About Orofino, Idaho","1930",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-34",,,,,,,"Pamphlet","P-34",,,,,,,,,,,,,"Anderson, 1930, IBMG P-34.","P-34","IGS",,,,,
20,"Geology and Mineral Resources of Eastern Cassia County, Idaho","1931",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG B-14",,,,,,,"Bulletin","B-14",,,,,,,,,,,,,"Anderson, 1931, IBMG B-14.","B-14","IGS",,,,,
21,"Geology of the Pearl-Horseshoe Bend Gold Belt, Idaho","1934",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-41",,,,,,,"Pamphlet","P-41",,,,,,,,,,,,,"Anderson, 1934, IBMG P-41.","P-41","IGS",,,,,
22,"Geology and Ore Deposits of the Atlanta District, Elmore County, Idaho","1939",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-49",,,,,,,"Pamphlet","P-49",,,,,,,,,,,,,"Anderson, 1939, IBMG P-49.","P-49","IGS",,,,,
23,"Geology and Metalliferous Deposits of Kootenai County, Idaho","1940",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-53",,,,,,,"Pamphlet","P-53",,,,,,,,,,,,,"Anderson, 1940, IBMG P-53.","P-53","IGS",,,,,
24,"Geology of the Idaho Almaden Quicksilver Mine Near Weiser, Idaho","1941",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-55",,,,,,,"Pamphlet","P-55",,,,,,,,,,,,,"Anderson, 1941, IBMG P-55.","P-55","IGS",,,,,
25,"Copper Mineralization Near Salmon, Lemhi County, Idaho","1943",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-60",,,,,,,"Pamphlet","P-60",,,,,,,,,,,,,"Anderson, 1943, IBMG P-60.","P-60","IGS",,,,,
26,"A Preliminary Report on the Cobalt Deposits of the Blackbird District, Lemhi County, Idaho","1943",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-61",,,,,,,"Pamphlet","P-61",,,,,,,,,,,,,"Anderson, 1943, IBMG P-61.","P-61","IGS",,,,,
27,"Geology of the Gold-Bearing Lodes of the Rocky Bar District, Elmore County, Idaho","1943",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-65",,,,,,,"Pamphlet","P-65",,,,,,,,,,,,,"Anderson, 1943, IBMG P-65.","P-65","IGS",,,,,
28,"Geology of the lead-silver deposits of the Clark Fork district, Bonner County, Idaho","1947",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"USGS B-944-B",,,,,,,"Bulletin","944-B",,,,,,"http://pubs.er.usgs.gov/publication/b944B",2015,,,,,,"Anderson, 1947, USGS B-944-B.",,,,,,,
29,"Geology and ore deposits of Boise Basin, Idaho","1947",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"USGS B-944-C",,,,,,,"Bulletin","944-C",,,,,,"http://pubs.er.usgs.gov/publication/b944C",2015,,,,,,"Anderson, 1947, USGS B-944-C.",,,,,,,
30,"Reconnaissance Survey of the Geology and Ore Deposits of the Southwestern Portion of Lemhi Range, Idaho","1948",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-80",,,,,,,"Pamphlet","P-80",,,,,,,,,,,,,"Anderson, 1948, IBMG P-80.","P-80","IGS",,,,,
31,"Silver-Gold Deposits of the Yankee-Fork District, Custer County, Idaho","1949",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-83",,,,,,,"Pamphlet","P-83",,,,,,,,,,,,,"Anderson, 1949, IBMG P-83.","P-83","IGS",,,,,
32,"Gold-Copper-Lead Deposits of the Yellowjacket District, Lemhi County, Idaho","1954",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-94",,,,,,,"Pamphlet","P-94",,,,,,,,,,,,,"Anderson, 1953, IBMG P-94.","P-94","IGS",,,,,
33,"A Preliminary Report on the Fluorspar Mineralization Near Challis, Custer County","1954",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-101",,,,,,,"Pamphlet","P-101",,,,,,,,,,,,,"Anderson, 1954, IBMG P-101.","P-101","IGS",,,,,
34,"Fluorspar Deposits Near Meyers Cove, Lemhi County, Idaho","1954",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-98",,,,,,,"Pamphlet","P-98",,,,,,,,,,,,,"Anderson, 1954, IBMG P-98.","P-98","IGS",,,,,
35,"Geology and Mineral Resources of the Salmon Quadrangle","1956",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-106",,,,,,,"Pamphlet","P-106",,,,,,,,,,,,,"Anderson, 1956, IBMG P-106.","P-106","IGS",,,,,
36,"Geology and Mineral Resources of the Baker Quadrangle, Lemhi County, Idaho","1957",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-112",,,,,,,"Pamphlet","P-112",,,,,,,,,,,,,"Anderson, 1957, IBMG P-112.","P-112","IGS",,,,,
37,"Uranium, Thorium, Columbium, and Rare Earth Deposits in the Salmon Region, Lemhi County, Idaho","1958",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-115",,,,,,,"Pamphlet","P-115",,,,,,,,,,,,,"Anderson, 1958, IBMG P-115.","P-115","IGS",,,,,
38,"Geology and Mineral Resources of the North Fork Quadrangle, Lemhi County, Idaho","1959",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-118",,,,,,,"Pamphlet","P-118",,,,,,,,,,,,,"Anderson, 1959, IBMG P-118.","P-118","IGS",,,,,
39,"Geology and Mineral Resources of the Lemhi Quadrangle, Lemhi County","1961",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-124",,,,,,,"Pamphlet","P-124",,,,,,,,,,,,,"Anderson, 1961, IBMG P-124.","P-124","IGS",,,,,
40,"Uranium-bearing minerals in placer deposits of the Red River valley, Idaho County, Idaho","1957",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"USGS B-1046-C",,,,,,,"Bulletin","1046-C",,,,,,"http://pubs.er.usgs.gov/publication/b1046C",2015,,,,,,"Armstrong and Weis, 1957, USGS B-1046-C.",,,,,,,
41,"Dismal swamp placer deposit, Elmore County, Idaho","1957",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"USGS B-1042-K",,,,,,,"Bulletin","1042-K",,,,,,"http://pubs.er.usgs.gov/publication/b1042K",2015,,,,,,"Armstrong, 1957, USGS B-1042-K.",,,,,,,
42,"Mineral and Water Resources of Idaho:  Uranium","1964",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG SR-1",,,,,,,"Special Report","MISC-0",,,,,,,,,,,,,"Armstrong, 1964, in IBMG SR-1.","MISC-0","IGS",,,,,
43,"Geologic map of the Soda Springs quadrangle, southeastern Idaho","1969",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"USGS I-557",,,,,,,"Map","557",,,,,,"http://pubs.er.usgs.gov/publication/i557",2015,,,,,,"Armstrong, 1969, USGS Misc. Geol. Inv. map I-557.",,,,,,,
44,"Summary Report of Examination:  Mine or Mineral Deposit",,FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG Summary Report Mine or Mineral Deposit",,,,,,,"Idaho Geological Survey Mineral Property File Collection",,,,,,,,2015,,,,,"Scanned document not yet available","Asher, 1964, IGS Mineral Property Files.",,,,,,,
45,"Mineral and Water Resources of Idaho:  Iron","1964",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG SR-1",,,,,,,"Special Report","MISC-0",,,,,,,,,,,,,"Asher, 1964, in IBMG SR-1.","MISC-0","IGS",,,,,
46,"Volcanic Construction Materials in Idaho","1965",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-135",,,,,,,"Pamphlet","P-135",,,,,,,,,,,,,"Asher, 1965, IBMG P-135.","P-135","IGS",,,,,
47,"Geology and Mineral Resources of a Portion of the Silver City Region, Owyhee County, Idaho","1968",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-138",,,,,,,"Pamphlet","P-138",,,,,,,,,,,,,"Asher, 1968, IBMG P-138.","P-138","IGS",,,,,
48,"Aurora-Sampson Mining Company Report to Idaho Inspector of Mines","1913",FALSE,,,FALSE,"Idaho State Mine Inspector",FALSE,"ISMIR",,,,,,,"Idaho Geological Survey Mineral Property File Collection",,,,,,,,,,,,,,"Aurora-Sampson Mng. Co., 1913, Aurora-Sampson Mng. Co. Rept. to Idaho Inspector of Mines.",,,,,,,
49,"Mineral and Water Resources of Idaho:  Mercury","1964",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG SR-1",,,,,,,"Special Report","MISC-0",,,,,,,,,,,,,"Bailey, 1964, in IBMG SR-1.","MISC-0","IGS",,,,,
50,"Geology and Ore Deposits of Alturas Quadrangle, Blaine County, Idaho","1922",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG B-5",,,,,,,"Bulletin","B-5",,,,,,,,,,,,,"Ballard, 1922, IBMG B-5.","B-5","IGS",,,,,
51,"Geology and Gold Resources of Boise Basin, Boise County, Idaho","1924",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG B-9",,,,,,,"Bulletin","B-9",,,,,,,,,,,,,"Ballard, 1924, IBMG B-9.","B-9","IGS",,,,,
52,"Geology and Ore Deposits of the Rocky Bar Quadrangle","1928",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-26",,,,,,,"Pamphlet","P-26",,,,,,,,,,,,,"Ballard, 1928, IBMG P-26.","P-26","IGS",,,,,
53,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,"Located in WorldCat","Bell, 1901, Proc. Int. Min. Cong., 4th Session.",,,,,,,
54,"Geology of Thunder Mountain and Central Idaho","1902",FALSE,,,FALSE,"The Engineering and Mining Journal",FALSE,"The Engineering and Mining Journal v.73, No.23",,,"73","23",,,,,,,,,,"https://books.google.com/books?id=J5k-AQAAMAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0 v=onepage&q&f=false#",2015,,,,,,"Bell, 1902, Eng. Mining Jour., v. 73, no. 23.",,,,,,,
55,"Report of the Mining Districts of Idaho for the Year 1902","1903",FALSE,,,FALSE,"State of Idaho",FALSE,"Report of the Mining Districts of Idaho for 1902",,,,,,,"Report",,,,,,,,,,,,,"In IGS library","Bell, 1903, Rept. of Mining Dist. of Idaho for 1902.",,,,,,,
56,"Report of the Mining Districts of Idaho for the Year 1903","1904",FALSE,,,FALSE,"State of Idaho",FALSE,"Report of the Mining Districts of Idaho for 1903-1908",,,,,,,"Report",,,,,,,,,,,,,"In IGS library","Bell, 1904, Rept. of Mining Dist. of Idaho for 1903.",,,,,,,
57,"Report of the Mining Districts of Idaho for the Year 1904","1905",FALSE,,,FALSE,"State of Idaho",FALSE,"Report of the Mining Districts of Idaho for 1903-1908",,,,,,,"Report",,,,,,,,,,,,,"In IGS library","Bell, 1905, Rept. of Mining Dist. of Idaho for 1904.",,,,,,,
58,"7th Annual Report of the Mining Industry of Idaho for 1905","1906",FALSE,,,FALSE,"State of Idaho",FALSE,"Report of the Mining Districts of Idaho for 1903-1908",,,,,,,"Report",,,,,,,,,,,,,"In IGS library","Bell, 1906, 7th Ann. Rept. of Mining Ind. of Idaho for 1905.",,,,,,,
59,"8th Annual Report of the Mining Industry of Idaho for 1906","1907",FALSE,,,FALSE,"State of Idaho",FALSE,"Report of the Mining Districts of Idaho for 1903-1908",,,,,,,"Report",,,,,,,,,,,,,"In IGS library","Bell, 1907, 8th Ann. Rept. of Mining Ind. of Idaho for 1906.",,,,,,,
60,"9th Annual Report of the Mining Industry of Idaho for 1907","1908",FALSE,,,FALSE,"State of Idaho",FALSE,"Report of the Mining Districts of Idaho for 1903-1908",,,,,,,"Report",,,,,,,,,,,,,"In IGS library","Bell, 1908, 9th Ann. Rept. of Mining Ind. of Idaho for 1907.",,,,,,,
61,"13th Annual Report of the Mining Industry of Idaho for 1911","1912",FALSE,,,FALSE,"State of Idaho",FALSE,"Report of Idaho Mining Districts 1909-1913",,,,,,,"Report",,,,,,,,,,,,,"In IGS library","Bell, 1912, 13th Ann. Rept. of Mining Ind. of Idaho for 1911.",,,,,,,
62,"14th Annual Report of the Mining Industry of Idaho for 1912","1913",FALSE,,,FALSE,"State of Idaho",FALSE,"Report of Idaho Mining Districts 1909-1913",,,,,,,"Report",,,,,,,,,,,,,"In IGS library","Bell, 1913, 14th Ann. Rept. of Mining Ind. of Idaho for 1912.",,,,,,,
63,"17th Annual Report of the Mining Industry of Idaho for 1915","1916",FALSE,,,FALSE,"State of Idaho",FALSE,"Report of Idaho Mining Districts 1914-1918",,,,,,,"Report",,,,,,,,,,,,,"In IGS library","Bell, 1916, 17th Ann. Rept. of Mining Ind. of Idaho for 1915.",,,,,,,
64,"18th Annual Report of the Mining Industry of Idaho for 1916","1917",FALSE,,,FALSE,"State of Idaho",FALSE,"Report of Idaho Mining Districts 1914-1918",,,,,,,"Report",,,,,,,,,,,,,"In IGS library","Bell, 1917, 18th Ann. Rept. of Mining Ind. of Idaho for 1916.",,,,,,,
65,"19th Annual Report of the Mining Industry of Idaho for 1917","1918",FALSE,,,FALSE,"State of Idaho",FALSE,"Report of Idaho Mining Districts 1914-1918",,,,,,,"Report",,,,,,,,,,,,,"In IGS library","Bell, 1918, 19th Ann. Rept. of Mining Ind. of Idaho for 1917.",,,,,,,
66,"20th Annual Report of the Mining Industry of Idaho for 1918","1919",FALSE,,,FALSE,"State of Idaho",FALSE,"Report of Idaho Mining Districts 1914-1918",,,,,,,"Report",,,,,,,,,,,,,"In IGS library","Bell, 1919, 20th Ann. Rept. of Mining Ind. of Idaho for 1918.",,,,,,,
67,"21st Annual Report of the Mining Industry of Idaho for 1919","1920",FALSE,,,FALSE,"State of Idaho",FALSE,"21st Annual Report of  Mining Industry of Idaho for 1919",,,,,,,"Report",,,,,,,,,,,,,"In IGS library","Bell, 1920, 21st Ann. Rept. of Mining Ind. of Idaho for 1919.",,,,,,,
68,"The Gold Resources of Idaho","1935",FALSE,,,FALSE,,FALSE,"The Mining and Contracting Review",,,,,,,,,,,,,,,,,,,,"From MRDS; Located in WorldCat","Bell, 1935, Mining and Contracting Review, v. 37, no. 34.",,,,,,,
69,"Mineral Investigation of the Ten Mile West RARE II (USFS Second Roadless Area Review and Evaluation) (No. W4-061), Boise and Elmore Counties, Idaho","1983",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"USBM OFR MLA 63-83",,,,,,,"Open File Report Mineral Land Appraisal","MLA 63-83",,,,,,,,,,,,"In IGS USBM electronic collection","Benham and Avery, 1983, USBM OFR MLA 63-83.","MLA 63-83.pdf","USBM",,,,,
70,"Mineral Investigation of the Palisades RARE II (USFS Second Roadless Area Review and Evaluation) (Nos. W4613 and E4613), Bonneville and Teton Counties, Idaho; Lincoln and Teton Counties, Wyoming","1983",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"USBM OFR MLA 46-83",,,,,,,"Open File Report Mineral Land Appraisal","MLA 46-83",,,,,,,,,,,,"In IGS USBM electronic collection","Benham, 1983, USBM OFR MLA 46-83.","MLA 46-83.pdf","USBM",,,,,
71,"Mineral Resource Investigation of the Trinities Study Area, Elmore County, Idaho","1991",FALSE,,,FALSE,"U.S. Geological Survey",FALSE,"USBM OFR MLA 10-91",,,,,,,"Open File Report Mineral Land Appraisal","MLA 10-91",,,,,,,,,,,,"In IGS USBM electronic collection","Benjamin and Federspiel, 1991, USBM OFR MLA 10-91.","MLA 10-91.pdf","USBM",,,,,
72,"Reconnaissance Geology and Geochemistry of the Silver City-South Mountain Region, Owyhee County, Idaho","1975",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-162",,,,,,,"Pamphlet","P-162",,,,,,,,,,,,,"Bennett and Galbraith, 1975, IBMG P-162.","P-162","IGS",,,,,
73,"Site Inspection Report for the Abandoned and Inactive Mines in Idaho on U.S. Forest Service Lands (Region 1), Idaho Panhandle National Forest: Volume I: Gold Creek Drainage","2003",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IGS S-03-1",,,,,,,"Staff Report","S-03-1",,,,,,,,,,,,,"Bennett and Mitchell, 2003, IGS S-03-1.","S-03-1","IGS",,,,,
74,"Site Inspection Report for the Abandoned and Inactive Mines in Idaho on U.S. Forest Service Lands (Region 1), Idaho Panhandle National Forest: Volume I: Prichard Creek and Eagle Creek Drainages, Major Properties","2003",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IGS S-03-2",,,,,,,"Staff Report","S-03-2",,,,,,,,,,,,,"Bennett and Mitchell, 2003, IGS S-03-2.","S-03-2","IGS",,,,,
75,"Minerals, Mining, and Energy in Idaho, 1985","1987",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IGS IC-41",,,,,,,"Information Circular","IC-41",,,,,,,,,,,,,"Bennett and others, 1987, IGS IC-41.","IC-41","IGS",,,,,
76,"Site Inspection Report for Abandoned and Inactive Mines in Southern Idaho: Volume II: Flint Creek-South Mountain Area, Owyhee County, Idaho","2010",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IGS S-10-2",,,,,,,"Staff Report","S-10-2",,,,,,,,,,,,,"Bennett and others, 2010, IGS S-10-2.","S-10-2","IGS",,,,,
77,"Site Inspection Report for Abandoned and Inactive Mines in Southern Idaho: Volume III: Miscellaneous Properties, Owyhee County, Idaho","2010",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IGS S-10-3",,,,,,,"Staff Report","S-10-3",,,,,,,,,,,,,"Bennett and others, 2010, IGS S-10-3.","S-10-3","IGS",,,,,
78,"Site Inspection Report for the Abandoned and Inactive Mines in Idaho on U.S. Forest Service Lands (Region 1), Idaho Panhandle National Forest: Volume VIII: Bonners Ferry Ranger District, Boundary County, Idaho","2003",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IGS S-03-11",,,,,,,"Staff Report","S-03-11",,,,,,,,,,,,,"Bennett and others, 2003, IGS S-03-11.","S-03-11","IGS",,,,,
79,"Site Inspection Report for the Abandoned and Inactive Mines in Idaho on U.S. Forest Service Lands (Region 1), Nez Perce National Forest: Volume II: Dixie Area, Idaho County, Idaho","2003",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IGS S-03-20",,,,,,,"Staff Report","S-03-20",,,,,,,,,,,,,"Bennett and others, 2003, IGS S-03-20.","S-03-20","IGS",,,,,
80,"Reconnaissance Geology and Geochemistry of the Blackbird Mountain-Panther Creek Region, Lemhi County, Idaho","1977",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG P-167",,,,,,,"Pamphlet","P-167",,,,,,,,,,,,,"Bennett, 1977, IBMG P-167.","P-167","IGS",,,,,
81,"Site Inspection Report for the Abandoned and Inactive Mines in the Salmon-Challis National Forest: Beaverhead Range-Lost River Range Area, Lemhi, Butte, and Clark Counties, Idaho","2006",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IGS S-06-1",,,,,,,"Staff Report","S-06-1",,,,,,,,,,,,,"Bennett, 2006, IGS S-06-1.","S-06-1","IGS",,,,,
82,"Geology and Phosphate Resources of a Part of the Red Ridge Quadrangle, Bonneville County, Idaho","1971",FALSE,,,FALSE,"University of Idaho",FALSE,"Thesis",,,,,,,"M.S. Thesis",,,,,,,,,,,,,"IGS Thesis Collection","Bhatti, 1971, Univ. of Idaho M.S. thesis.",,,,,,,
83,"Bishop (IBMG), personal communication",,FALSE,,,FALSE,,FALSE,,,,,,,,"Personal Communication",,,,,,,,,,,,,"Unable to verify (2015)","Bishop, IBMG, personal communication.",,,,,,,
84,,"1980",FALSE,,,FALSE,,FALSE,,,,,,,,"Correspondence",,,,,,,,,,,,,"Unable to locate (2015)","BLM, 1980, Coeur d'Alene District Office, written communication.",,,,,,,
85,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,"Unable to locate (2015)","BLM, Claim Recordation System, IMC 20577, 20578, 20579.",,,,,,,
86,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,"Unable to locate (2015)","BLM, n.d., BLM Coeur d'Alene Office field investigations.",,,,,,,
87,"Blue Bell annual report","1913",FALSE,,,FALSE,"Idaho State Mine Inspector",FALSE,"ISMIR",,,,,,,"Idaho Geological Survey Mineral Property File Collection",,,,,,,,,,,,,"Scanned document not yet available (2015)","Blue Bell Mining Co., Ltd., 1913, Blue Bell Mining Co., Ltd., Ann. Rept. to Idaho Inspector of Mines.",,,,,,,
88,"Blue Creek Mining and Milling annual report","1914",FALSE,,,FALSE,"Idaho State Mine Inspector",FALSE,"ISMIR",,,,,,,"Idaho Geological Survey Mineral Property File Collection",,,,,,,,,,,,,"Scanned document not yet available (2015)","Blue Creek Mining & Millng. Co., Ltd., 1914, Ann. Rept. of Blue Creek Mining & Mllng. Co., Ltd. to Idaho Inspector of Mines.",,,,,,,
89,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,"Unable to locate (2015)","Boise Cascade Corp., n.d., Boise Cascade Corp. communication to USBM.",,,,,,,
90,"IBMG Summary of Examination:  Mine or Mineral Deposit (GR0204)","1978",FALSE,,,FALSE,"Idaho Geological Survey",FALSE,"IBMG SOE",,,,,,,"Idaho Geological Survey Mineral Property File Collection",,,,,,,,,,,,,"Scanned document not yet available (2015)","Bonnichsen, 1978, IGS Mineral Property Files.",,,,,,,
