"ID","SequenceNumber","NEWLOC","DEPOSIT","REFNAME","DESC_CHANGE","DATE_CHANGE","BASIS_CHANGE","RESEARCHER","ADD_NOTES","CLEANUP_Y_","Query_or_Sort","PreviousDatabseName"
12,"BO0152p","BO0152","placer production",,"Deleted from Mines and MineIndex tabels","20141107","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
13,"BO0162p","BO0162","placer production",,"Deleted from Mines table","20141107","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
14,"BO0205p","BO0205","placer production",,"Deleted from Mines table","20141107","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
15,"BO0256","BO0256","deleted",,"Removed property from Mines table because deposite labled 'deleted'.","20141118","Deleted deposit","CAT",,"Y","[Mines.deposit]=""deleted""","MinesAndProspects_BrainSaladSurgery_CAT_20141118_CURRENT_1230"
16,"BO0263p","BO0263","placer production",,"Deleted from Mines table","20141107","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
17,"BO0264p","BO0264","placer production",,"Deleted from Mines table","20141107","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
18,"BO0288","BO0288","deleted",,"Removed property from Mines table because deposite labled 'deleted'.","20141118","Deleted deposit","CAT",,"Y","[Mines.deposit]=""deleted""","MinesAndProspects_BrainSaladSurgery_CAT_20141118_CURRENT_1230"
19,"BO0428","BO0428","deleted",,"Removed property from Mines table because deposite labled 'deleted'.","20141118","Deleted deposit","CAT",,"Y","[Mines.deposit]=""deleted""","MinesAndProspects_BrainSaladSurgery_CAT_20141118_CURRENT_1230"
20,"BO0466","BO0466","deleted",,"Removed property from Mines table because deposite labled 'deleted'.","20141118","Deleted deposit","CAT",,"Y","[Mines.deposit]=""deleted""","MinesAndProspects_BrainSaladSurgery_CAT_20141118_CURRENT_1230"
21,"BO0469",,"Unnamed Prospect (B7259901)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
22,"BO0470",,"Unnamed Prospect (B7259902)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
23,"BO0476",,"Whiskey Prospect (B7249903)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
24,"BO0477",,"Unnamed Prospect (B7249904)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
25,"BO0478",,"Zether",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
26,"BO0479",,"Freestone Creek Prospect",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
27,"BO0480",,"Unnamed prospect",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
28,"BO0482",,"Unnamed prospect",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
29,"BO0483",,"Unnamed prospect (Curlew NW Adit)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
30,"BO0485",,"Unnamed prospect (Upper Curlew)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
31,"BO0486",,"Unnamed prospect",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
32,"BO0487",,"Aldape Summit Prospect",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
33,"BO0488","BO0438","Gold Mile",,"Deleted from Mines and MineIndex tables","20141107","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
34,"BO0489","BO0438","Golden Gate",,"Deleted from Mines and MineIndex tables","20141107","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
35,"BO0490","BO0438","Interstate Gold Mining Co.",,"Deleted from Mines and MineIndex tables","20141107","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
36,"BO0491","BO0438","Meadow Lark",,"Deleted from Mines and MineIndex tables","20141107","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
37,"BO0492","BO0438","Roosevelt",,"Deleted from Mines and MineIndex tables","20141107","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
38,"BO0493","BO0438","Rose",,"Deleted from Mines and MineIndex tables","20141107","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
39,"BO0494","BO0451","Snow Storm",,"Deleted from Mines and MineIndex tables","20141107","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
40,"BO0495","BO0451","Sugar Loaf",,"Deleted from Mines and MineIndex tables","20141107","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
41,"CH0403p","CH0403","placer production",,"Deleted from Mines and MineIndex tables","20141107","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
42,"CH0419p","CH0419","placer production",,"Deleted from Mines and MineIndex tables","20141107","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
43,"CH0434p","CH0434","placer production",,"Deleted from Mines and MineIndex tables","20141107","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
44,"CH0453p","CH0453","placer production",,"Deleted from Mines and MineIndex tables","20141107","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
45,"CH0465p","CH0465","placer production",,"Deleted from Mines and MineIndex tables","20141107","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
46,"CH0492p","CH0492","placer production",,"Deleted from Mines and MineIndex tables","20141107","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
47,"CH0547p","CH0547","placer production",,"Deleted from Mines and MineIndex tables","20141107","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
48,"CH0560p","CH0560","placer production",,"Deleted from Mines and MineIndex tables","20141107","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
49,"CH0562p","CH0562","placer production",,"Deleted from Mines and MineIndex tables","20141107","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
50,"CH0563p","CH0563","placer production",,"Deleted from Mines and MineIndex tables","20141107","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
51,"CH0568p","CH0568","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
52,"CH0574p","CH0574","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
53,"CH0584",,"deleted",,"Deleted from Mines and MineIndex tables","20141110","Deposit field on Mines table blank or named 'deleted' and/or NEWLOC blank","CAT",,"Y","Mines.MAPLOC sorted A to Z. Blank entries.","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
54,"CH0744p","CH0744","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
55,"CH0755p","CH0755","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
56,"CH1054p","CH1054","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
57,"CH1142p","CH1142","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
58,"CH1234",,"Thompson Creek",,"Changed lat/lon to better reflect the pit location","20141202","Lat/lon adjusted per Reed Lewis request.","CAT","Need to update TRS",,,
59,"CH1238p","CH1238","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
60,"CH1318",,"Unnamed prospect (Compressor)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
61,"CH1320",,"Unnamed Prospect (ID-0084-00012)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
62,"CH1322",,"Unnamed Prospect (ID-0084-00020)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
63,"CH1323",,"Unnamed from Earl's 2004 report (wp73)",,"Added property number from Mines table to MinesIndex table","20141112","Need property number in MinesIndex for web","CAT","Locations of this property may be from Abandoned Mines Inspection Report fieldwork.  Property needs to be researched and referenced.","Y","SELECT Mines.SequenceNumber, Mines.DEPOSIT, MineIndex.[Sequence Number] INTO Mines_MineIndex_Update FROM MineIndex RIGHT JOIN Mines ON MineIndex.[Sequence Number] = Mines.SequenceNumber;","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
64,"CH1324","CH0574","New Comeback Mine",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
65,"CH1327","CH0098","Gold Chain Placer",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
66,"CH1328","CH0098","North Star",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
67,"CH1329","CH0113","Tramway (Yellowjacket Group)",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
68,"CH1330","CH0659","Big Bend Nos. 1 and 2",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
69,"CH1331","CH0697","Rainier",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
70,"CH1331n",,"Rainier",,"Added property to Mines and MinesIndex tables","20141125","Distinct lat/lon from NEWLOC associated property","CAT",,"Y",,"MinesAndProspects20141106postAlysoMinesAndProspects20141106postAlyson"
71,"CH1332","CH0699","Gilt Edge",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
72,"CH1332n",,"Gilt Edge",,"Added property to Mines and MinesIndex tables","20141125","Distinct lat/lon from NEWLOC associated property","CAT",,"Y",,"MinesAndProspects_BrainSaladSurgery_CAT_20141124_CURRENT_1200_backup"
73,"CH1333","CH0699","Little Brown Jug",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
74,"CH1333n",,"Little Brown Jug",,"Added property to Mines and MinesIndex tables","20141125","Distinct lat/lon from NEWLOC associated property","CAT",,"Y",,"MinesAndProspects_BrainSaladSurgery_CAT_20141124_CURRENT_1200_backup"
75,"CH1334","CH1075","Lone Star",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
76,"CH1334n",,"Lone Star",,"Added property to Mines and MinesIndex tables","20141125","Distinct lat/lon from NEWLOC associated property","CAT",,"Y",,"MinesAndProspects_BrainSaladSurgery_CAT_20141124_CURRENT_1200_backup"
77,"CH1335","CH1133","Iron King Group Nos. 1-17",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
78,"DI0028p","DI0028","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
79,"DI0092p","DI0092","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
80,"DI0095p","DI0095","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
81,"DI0165p","DI0165","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
82,"DI0187p","DI0187","placer production",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
83,"DI0191","DI0191","Not Available",,"Deleted from Mines table. Cascade delete is in effect!","20141119","Described as 'deleted' in property name","CAT",,"Y","Sort A-Z Mines table lon_WGS84 field","MinesAndProspects_BrainSaladSurgery_CAT_20141119_CURRENT_0700"
84,"DR0070",,"deleted (duplicate of DR0068)",,"Deleted from Mines and MineIndex tables","20141110","Deposit field on Mines table blank or named 'deleted' and/or NEWLOC blank","CAT",,"Y","Mines.MAPLOC sorted A to Z. Blank entries.","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
85,"DR0114",,"deleted -- same as DR0113",,"Deleted from Mines and MineIndex tables","20141110","Deposit field on Mines table blank or named 'deleted' and/or NEWLOC blank","CAT",,"Y","Mines.MAPLOC sorted A to Z. Blank entries.","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
86,"DR0171",,"deleted -- same as DR0172",,"Deleted from Mines and MineIndex tables","20141110","Deposit field on Mines table blank or named 'deleted' and/or NEWLOC blank","CAT",,"Y","Mines.MAPLOC sorted A to Z. Blank entries.","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
87,"DR0190","DR0170","Nabob Mine",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
88,"DR0191","DR0170","N. S. Davenport Mine",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
89,"DR0192","DR0170","Peterson Mine",,"Deleted from Mines and MineIndex tables","20141110","Placer, or otherwise SeqNum and NEWLOC do not match","CAT",,"Y","[Mines.SequentialNumber]<>[Mines.NEWLOC]","MinesAndProspects_BrainSaladSurgery_20141106_backup.mdb"
