"OBJECTID","version","proc_step","proc_date","database_name","user"
23,"1.2015.1","Changed field names and added fields as needed to facilitate incorporating MineMaps table into PropertyFileScans table.","20141114","See proc_date","CAT"
24,"1.2015.1","Reverted to a copy of the 20141113 database to be CURRENT, so take care if digging in any databases after that and before 20141118. Appended   the MineMaps table to PropertyFileScans table, rectified all problems, and successfully linked the the new PropertyFileScans to Mines. To   reflect the changes that were necessary in the CURRENT database, the working spreadsheets were updated, as well as the .pdf folder of   available mine maps, the back up of .tiff mine map scans, and the ancillary repositories of scans (such as the 'M:\Property_files\X-Not   Ready For Prime Time\Mine Maps\1Rescan_OR_needCataloged_OR_mapScan_notFound' folders). No new information was added to TrackChange since no   properties were modified.","20141117","See proc_date","CAT"
25,"1.2015.1","Rectified problems with MineMapsLUT against properties in MinesIndex. Appended to ScanCrossRef table and updated FINAL Mine map spreadsheets   as needed. Deleted redundant or expired tables and queries used in DB update process. Updated Maps T/F checkbox in PropertyFileScans to   'True' for appended mine map entries (this was not a field added before the append). Updated the 'PropertyFileScans subform USE THIS ONE' to   include the searchable Year category and the mining company name. Deleted the Maps T/F category because it was redundant ('map' is a unique   category in ItemType). Deleted the PropertyName field since this is contained in the Mines table. Updated field descriptions for the   PropertyFileScans table. Institiuted  Referential Integrity, Cascade Update, and Cascade Delete from Mines to MineIndex, PropertyFileScans, and ScanCrossRef. NOTE: For MinesAndProspects_1.2015.1 all cascade effects have been removed.","20141118","See proc_date","CAT"
26,"1.2015.1",,"20141119","See proc_date","CAT"
27,"1.2015.1","Isolated properties in Mines that have no WGS84. Discovered properties that have hard files without web representation (will have to physically verify those files and update MinesIndex appropriately at a later date). Properties that had DD or DMS information were brought into ArcGIS 10.2.2, projected to WGS84, and then appended back onto the Mines table. Properties with no geographical reference were deleted and noted in TrackChange.","20141119","See proc_date","CAT"
28,"1.2015.1","Updated MinesIndex to reflect the properties above where hard files exist. Brought several properties back to the Mines table that had been deleted because of NEWLOC, but had distinct lat/lon. Projected into WGS84 as above. Made notes in the 'Problems' field to check references and other table dependencies (other than MinesIndex, which was updated to reflect Mines). Downloaded the latest PLSS data from the BLM for Idaho, and used it to derive TRS1/4 sections for the 8838 properties in the database. Some areas of Idaho have not been surveyed, so  some properties cannot be assigned a 1/4 section. However, a quater section was assigned. NW if the section had no quarter sections, and SE if half of the section had quarter sections but the property fell inside the half section without quarters. Created a new table to reflect this data and labled it TRSQ_Mines. Of course a  disclaimer will have to be put up on the website noting this. After the DB overhaul is designed and complete the LUT dependencies will be resolved and updated.","20141201","See proc_date","CAT"
29,"1.2015.1","Removed tables, queries, and forms that were no longer of use. Some of these are retained in a new database named Database51_DefunctTables.   Backups of the current database before this date will have these artifacts in tact. Updated Mines with best available PLSS, however, EC1309 and HM0263 (both new properties) will have to have this information added later.  NOTE:  HM0263 and EC1509 need all attributes entered. They exist only as SeqNum in Mines and WGS84 lat/lon. This can happen after the database is handed over and moves to live updates, and will wait till then.   Updated the 24k and 100k Quads using IGS shapefiles and Mines WGS84 points used for setting up the TSRQ fields. Projected the quads into WGS84, did an Identify, and pulled the table into Access where an update query was done to add the information.","20141204","See proc_date","CAT"
30,"1.2015.1","Deleted the Region field in Mines. Updated the MinesIndex table for the Scanned field to be 'False.' The form that can be used to update the entire mines database has some broken fields that will need to be fixed since they do not refer to viable tables any longer.","20141208","See proc_date","CAT"
31,"1.2015.1","Changed Location_type field type in Mines table to Number. Used update query to change Null fields to '0'.","20141211","See proc_date","CAT"
32,"1.2015.1","Finished last edits of Help File for the online database. Finished edits of metadata and readme file to be included in downloadable version of database. Put the procedural info in this document into the mines_mdb_tracking_mdat table. Deleted temporary tables from the downloadable database. Named downloadable database MinesAndProspects_1.2015.1.","20150302","20150302_MinesAndProspects_1.2015.1","CAT"

The free trial of MDB ACCDB Viewer exports only half of the records in each table.
