"ID","PropertyNumber","PropertyScanName","OriginalFileName","FileSize","FileName","ItemType","InfoText","Maps","Author","Comments","FolderName","Dates","MapsToReview","Rescan_file","xRef_Prop_Comments","Year","Company","Initials","EntryDate"
106,"BO0059","BO0059-m028",,2455,"BO0059-m028.pdf","map","Pearl Project, Plan View and Cross Sections of the Checkmate Dump and Assays.",1,"S. Hembree",,,"Nov. 12, 1980",,FALSE,,1980,"Moneca Mine Development",,
107,"BO0059","BO0059-m029",,5524,"BO0059-m029.pdf","map","Pearl Project, Surface Geology Plan.",1,"S. Hembree",,,"Feb. 27, 1981",,FALSE,,1981,"Moneca Mine Development",,
108,"BO0059","BO0059-m030",,5589,"BO0059-m030.pdf","map","Pearl Project, Surface Topography, Underground Workings, and Existing and Proposed Diamond Drill Holes, and Claims.",1,"S. Hembree",,,"Sep. 8, 1980",,FALSE,,1980,"Moneca Mine Development",,
109,"BO0059","BO0059-m031",,4570,"BO0059-m031.pdf","map","Pearl Project, Topography and Claims.",1,"S. Hembree",,,"Feb. 12, 1981",,FALSE,,1981,"Moneca Mine Development",,
110,"BO0059","BO0059-m032",,5254,"BO0059-m032.pdf","map","Pearl Project, Topography and Claims, Ag Geochemistry.",1,"S. Hembree",,,"Feb. 11, 1981",,FALSE,,1981,"Moneca Mine Development",,
111,"BO0059","BO0059-m033",,5215,"BO0059-m033.pdf","map","Pearl Project, Topography and Claims, Au Geochemistry.",1,"S. Hembree",,,"Feb. 11, 1981",,FALSE,,1981,"Moneca Mine Development",,
112,"BO0059","BO0059-m034",,6290,"BO0059-m034.pdf","map","Pearl Project, Topography and Claims, Pb Geochemistry.",1,"S. Hembree",,,"Feb. 11, 1981",,FALSE,,1981,"Moneca Mine Development",,
113,"BO0059","BO0059-m035",,5304,"BO0059-m035.pdf","map","Pearl Project, Topography and Claims, Zn Geochemistry.",1,"S. Hembree",,,"Feb. 11, 1981",,FALSE,,1981,"Moneca Mine Development",,
114,"BO0059","BO0059-m036",,5327,"BO0059-m036.pdf","map","Pearl Project, Topography and Claims (Post Operations Topography).",1,,,,"Feb. 12, 1981",,FALSE,,1981,"Moneca Mine Development",,
115,"BO0059","BO0059-m037",,6534,"BO0059-m037.pdf","map","Pearl Project, Topography and Claims (Pre Operations Topography).",1,,,,"Feb. 12, 1981",,FALSE,,1981,"Moneca Mine Development",,
116,"BO0059","BO0059-m038",,4595,"BO0059-m038.pdf","map","Pearl Project, Topography, Underground Workings, Diamond Drill Holes, and Surface Sampling.",1,"S. Hembree",,,"Jan. 16, 1980",,FALSE,,1980,"Moneca Mine Development",,
117,"BO0059","BO0059-m039",,1679,"BO0059-m039.pdf","map","Checkmate Claims and Vicinity; Mining Property Owned by Morton B., Maud W., and Willis M. Smith.",1,,,,"undated",,FALSE,,9999,,,
118,"BO0059","BO0059-m040",,2035,"BO0059-m040.pdf","map","Hecla-Checkmate Group of Claims and Adjacent Properties.",1,"G.W. Ball; retraced by M.B. Smith",,"Boise","1938",,FALSE,,1938,,,
119,"BO0059","BO0059-m041",,3474,"BO0059-m041.pdf","map","Checkmate-Leviathan Lease Plan and  Longitudinal Section.",1,"S.L. Bida and Allen C. Merritt",,,"Aug. 19, 1943",,FALSE,,1943,,,
120,"BO0059","BO0059-m042",,1344,"BO0059-m042.pdf","map","Checkmate Adit Assay Plan.",1,"Drawn by B.A. Schuld; Revised by DRH",,,"Apr. 17, 1980 to May 15, 1980",,FALSE,,1980,,,
121,"BO0059","BO0059-m043",,1124,"BO0059-m043.pdf","map","Checkmate Mine Geology Plan.",1,"Drawn by B.A. Schuld; Revised by DRH",,,"Apr. 17,1980 to May 5, 1980",,FALSE,,1980,,,
122,"BO0059","BO0059-m044",,1216,"BO0059-m044.pdf","map","Checkmate Mine Workings Showing Caved Areas.",1,"B.A. Schuld",,,"Apr. 17, 1980",,FALSE,,1980,,,
123,"BO0059","BO0059-m045",,1134,"BO0059-m045.pdf","map","Checkmate Mine Geology Plan.",1,"Drawn by B.A. Schuld; Revised by DRH",,,"Apr. 17,1980 to May 5, 1980",,FALSE,,1980,,,
124,"BO0059","BO0059-m046",,18933,"BO0059-m046.pdf","map","West View Mining District Claims Area.",1,"R.A. Milne",,,"Feb. 15, 1967",,FALSE,,1967,,,
125,"BO0059","BO0059-m047",,6032,"BO0059-m047.pdf","map","Whitman-Checkmate Groups Mining Property.",1,"R.J. Briggs",,,"May 9, 1949",,FALSE,,1949,"Idaho Consolidated Mines",,
126,"BO0060","BO0060-m001",,4311,"BO0060-m001.pdf","map","Basque Lode Claim.",1,"G.W. Ball",,,"Jan. 8, 1900",,FALSE,,1900,,,
127,"BO0069","BO0069-m001",,3379,"BO0069-m001.pdf","map","Double Eagle Mine Claim Area.",1,"V.W. Samms",,,"Jun. 6, 1922",,FALSE,,1922,,,
128,"BO0069","BO0069-m002",,3225,"BO0069-m002.pdf","map","Zulu Claim Area.",1,"V.W. Samms",,,"Feb. 23, 1922",,FALSE,,1922,,,
129,"BO0069","BO0069-m003",,1610,"BO0069-m003.pdf","map","West View Mining District Claims Area.",1,,,,"Aug. 31, 1935",,FALSE,,1935,,,
130,"BO0074","BO0074-m001",,2385,"BO0074-m001.pdf","map","Pearl Project, Lincoln Mine Dump.",1,"G.A.",,,"Jun., 1981",,FALSE,,1981,"Moneca Mine Development",,
131,"BO0074","BO0074-m002",,3655,"BO0074-m002.pdf","map","Lincoln Claim Area.",1,,,,"Dec. 6, 1938",,FALSE,,1938,,,
11620,"BO0086","BO0086_001",,6247,"BO0086_001.pdf","Idaho State Mine Inspector Report","Annual Reports.",0,,,,"1942-1950",,FALSE,,1942,"R.K.G. Mining & Milling","wrs","2016-08-27 00:00:00"
11621,"BO0090","BO0090_001",,3660,"BO0090_001.pdf","Idaho State Mine Inspector Report","Annual Reports.",0,,,,"1917-1918",,FALSE,,1917,"Golden Sickle Mining & Milling","wrs","2016-08-27 00:00:00"
132,"BO0091","BO0091-m001",,3134,"BO0091-m001.pdf","map","Sketch Map of Tunnels Nos. 3 and 4 Webfoot Mine.",1,,,,"Aug. 21, 1926",,FALSE,,1926,,,
11567,"BO0093","BO0093_001",,16287,"BO0093_001.pdf","report","Report on Properties of San Juan Mining Syndicate at Delamar, Idaho.",8,"C.N. Anderson",,,"Jan. 17, 1938",,FALSE,,1938,,"wrs","2016-08-19 00:00:00"
11622,"BO0096","BO0096_001",,425,"BO0096_001.pdf","report","Excerpt of Report.",0,,,,"undated",,FALSE,,,,"wrs","2016-08-27 00:00:00"
11623,"BO0096","BO0096_002",,17037,"BO0096_002.pdf","Idaho State Mine Inspector Report","Annual Report. Also Listed as De Lamar Mining & Milling and DeLamar Milling.",0,,,,"1913-1943",,FALSE,,1913,"DeLamar","wrs","2016-08-27 00:00:00"
11624,"BO0096","BO0096_003",,1784,"BO0096_003.pdf","Idaho State Mine Inspector Report","Annual Report.",0,,,,"1964",,FALSE,,1964,"Continental Quicksilver","wrs","2016-08-27 00:00:00"
11625,"BO0096","BO0096_004",,5406,"BO0096_004.pdf","report","Gold-Silver Geochemistry, De Lamar Silver Mine, Owyhee County, Idaho.",4,"R. Lasmanis",,,"Oct. 31, 1986",,FALSE,,1986,,"wrs","2016-08-27 00:00:00"
11626,"BO0096","BO0096_005",,4858,"BO0096_005.pdf","report","Geology and Stratigraphy of DeLamar Mountain.",6,"B. Strowd",,,"Dec. 1981",,FALSE,,1981,,"wrs","2016-08-27 00:00:00"
11627,"BO0096","BO0096_006",,325,"BO0096_006.pdf","correspondence","To R.M. Breckenridge regarding presentation. With abstract and list of slides attached.",0,"R. Lasmanis",,,"Jan. 20, 2005",,FALSE,,2005,,"wrs","2016-08-27 00:00:00"
11628,"BO0096","BO0096_007",,7340,"BO0096_007.pdf","report","Geology of the DeLamar Silver Mine, Idaho - A Volcanic Dome Complex and Genetically Associated Hydrothermal System.",4,"S.P. Halsor, T.J. Bornhorst, M. Beebe, K. Richardson, W. Strowd",,,"1988",,FALSE,,1988,,"wrs","2016-08-27 00:00:00"
11629,"BO0096","BO0096_008",,2224,"BO0096_008.pdf","report","History of Delamar Acquisition.",0,"R. Lasmanis",,,"Oct. 8, 1973",,FALSE,,1973,,"wrs","2016-08-27 00:00:00"
11630,"BO0096","BO0096_009",,481,"BO0096_009.pdf","map","De Lamar Area Location Map.",1,,,,"undated",,FALSE,,,,"wrs","2016-08-27 00:00:00"
11631,"BO0096","BO0096_010",,689,"BO0096_010.pdf","map","Sommercamp Trench Assays and Drill Section SC-4.",1,,,,"undated",,FALSE,,,,"wrs","2016-08-27 00:00:00"
11568,"BO0097","BO0097_001",,1359,"BO0097_001.pdf","correspondence","To R. King regarding Howe-Manhattan Group.",0,"J.W. Cole",,,"Oct. 20, 1955",,FALSE,,1955,,"wrs","2016-08-19 00:00:00"
11569,"BO0097","BO0097_002",,5575,"BO0097_002.pdf","report","The Regan Mining Property Silver City - DeLamar District, Idaho.",1,"W.R. Wagner",,,"Aug. 26, 1957",,FALSE,,1957,"Bunker Hill","wrs","2016-08-19 00:00:00"
11570,"BO0097","BO0097_003",,4882,"BO0097_003.pdf","map","Topographic and Geologic Map of the DeLamar Mining District.",3,"A.M. Piper, F.B. Laney",,,"1925",,FALSE,,1925,,"wrs","2016-08-19 00:00:00"
11571,"BO0097","BO0097_004",,4728,"BO0097_004.pdf","map","Cross-Section.",2,,,,"undated",,FALSE,,,,"wrs","2016-08-19 00:00:00"
11572,"BO0097","BO0097_005",,2564,"BO0097_005.pdf","map","Line of Section.",1,,,,"undated",,FALSE,,,,"wrs","2016-08-19 00:00:00"
11573,"BO0097","BO0097_006",,2588,"BO0097_006.pdf","map","Geologic Plans of the Fourth and Fourteenth Levels. DeLamar Mine and of the Lower Chatauqua Adit.",2,"A.M. Piper",,,"1926",,FALSE,,1926,,"wrs","2016-08-19 00:00:00"
11574,"BO0097","BO0097_007",,9579,"BO0097_007.pdf","map","Claim Maps for Czarina, Only Chance, Badger, Ella, Howe Lode, Millsite, Manhattan, and Regan-Howe Group.",5,,,,"1889(?)-1924",,FALSE,,1889,,"wrs","2016-08-19 00:00:00"
11575,"BO0100","BO0100_001",,1911,"BO0100_001.pdf","report","The DeLamar Silver Mine.",4,,,,"undated",,FALSE,,,,"wrs","2016-08-19 00:00:00"
11576,"BO0100","BO0100_002",,6037,"BO0100_002.pdf","report","The DeLamar Silver Mine. Presentation to NW Mining Association Convention.",0,"K.H. Wright",,,"Dec. 4, 1976",,FALSE,,1976,,"wrs","2016-08-19 00:00:00"
11577,"BO0100","BO0100_003",,7664,"BO0100_003.pdf","report","NWMA DeLamar Paper.",0,"J.A. Knox, T. Weitz",,,"Nov. 23, 1976",,FALSE,,1976,,"wrs","2016-08-19 00:00:00"
11578,"BO0100","BO0100_004",,1157,"BO0100_004.pdf","miscellaneous","DeLamar Silver Mine Fact Sheet and Information.",0,,,,"undated",,FALSE,,,,"wrs","2016-08-19 00:00:00"
11579,"BO0100","BO0100_005",,7381,"BO0100_005.pdf","report","Visit to Earth Resources, Delamar Silver Mine, Owyhee.",5,"D.L. Stevens",,,"Jun. 8, 1978",,FALSE,,1978,,"wrs","2016-08-19 00:00:00"
11580,"BO0100","BO0100_006",,2435,"BO0100_006.pdf","news article","Article on DeLamar Silver Mine.",0,,,,"Nov. 1977",,FALSE,,1977,,"wrs","2016-08-19 00:00:00"
11581,"BO0100","BO0100_007",,317,"BO0100_007.pdf","miscellaneous","DeLamar Stratigraphic Column.",0,,,,"Sep. 1975",,FALSE,,1975,,"wrs","2016-08-19 00:00:00"
11582,"BO0100","BO0100_008",,2365,"BO0100_008.pdf","map","Cross-Section.",1,,"unsure what this map is showing.",,"undated",,FALSE,,,,"wrs","2016-08-19 00:00:00"
11583,"BO0100","BO0100_009",,2327,"BO0100_009.pdf","news article","Articles on DeLamar Silver Mine.",0,,,,"undated",,FALSE,,,,"wrs","2016-08-19 00:00:00"
11584,"BO0100","BO0100_010",,5824,"BO0100_010.pdf","news article","Economy in Transition.",0,,,,"Mar. 23, 1986",,FALSE,,1986,,"wrs","2016-08-19 00:00:00"
11585,"BO0100","BO0100_011",,1138,"BO0100_011.pdf","miscellaneous","Summary: 45 Degree Slope.",0,,,,"undated",,FALSE,,,,"wrs","2016-08-20 00:00:00"
11586,"BO0100","BO0100_012",,1026,"BO0100_012.pdf","miscellaneous","Summary: 60 Degree Slope.",0,,,,"undated",,FALSE,,,,"wrs","2016-08-20 00:00:00"
11587,"BO0100","BO0100_013",,1531,"BO0100_013.pdf","correspondence","To R.M. Breckenridge regarding Abtract on DeLamar Silver Mine with attachment.",0,"R. Lasmanis",,,"Jan. 20, 2005",,FALSE,,2005,,"wrs","2016-08-20 00:00:00"
11588,"BO0100","BO0100_014",,6177,"BO0100_014.pdf","report","The Outlook of the Silver City, Owyhee County, Idaho, Mining Region.",0,"R.M. Robb","There are a lot of cross-ref'd properties. Does this look realistic to you?",,"Mar. 30, 1963",,FALSE,,1963,,"wrs","2016-08-20 00:00:00"
11589,"BO0100","BO0100_015",,6434,"BO0100_015.pdf","report","Cyanide Recovery in CCD-Merril Crow Circuit: Pilot Testwork of Cyanisorb Process at NERCO DeLamar Silver Mine.",0,"M.A. Omofoma, A.P. Hampton",,,"undated",,FALSE,,,,"wrs","2016-08-20 00:00:00"
11590,"BO0100","BO0100_016",,8782,"BO0100_016.pdf","report","Tailing Pond Detoxification and Development of a Cyanide Redcovery Process: Experiences at the DeLamar Silver Mine.",1,"E.J. Olin",,,"1992",,FALSE,,1992,,"wrs","2016-08-20 00:00:00"
11591,"BO0100","BO0100_017",,1154,"BO0100_017.pdf","miscellaneous","Summaries of Mining District in 1964.",0,"R. Asher",,,"1964",,FALSE,,1964,,"wrs","2016-08-20 00:00:00"
11632,"BO0100","BO0100_018",,694,"BO0100_018.pdf","news article","Design capacity of the DeLamar Mill.",0,,,,"undated",,FALSE,,,,"wrs","2016-08-27 00:00:00"
11633,"BO0100","BO0100_019",,596,"BO0100_019.pdf","news article","DeLamar May Outrank Coeur.",0,,,,"Sep. 1975",,FALSE,,1975,,"wrs","2016-08-27 00:00:00"
11634,"BO0100","BO0100_020",,419,"BO0100_020.pdf","news article","Silver mine developed in southwestern Idaho.",0,,,,"Oct. 19, 1974",,FALSE,,1974,,"wrs","2016-08-27 00:00:00"
11635,"BO0100","BO0100_021",,636,"BO0100_021.pdf","news article","Earth Resources to sell DeLamar Mine.",0,"C. Blaine",,,"Nov. 9, 1979",,FALSE,,1979,,"wrs","2016-08-27 00:00:00"
11636,"BO0100","BO0100_022",,1593,"BO0100_022.pdf","news article","NERCO Minerals gains 100% control of DeLamar Mine.",0,,,,"Sep. 1985",,FALSE,,1985,,"wrs","2016-08-27 00:00:00"
11637,"BO0100","BO0100_023",,1884,"BO0100_023.pdf","miscellaneous","Operating Cost, Capital Cost and Revenue Assumption Tables.",0,,,,"Apr. 22, 1985",,FALSE,,1985,,"wrs","2016-08-27 00:00:00"
11638,"BO0100","BO0100_024",,1070,"BO0100_024.pdf","correspondence","To P.L. Hunter regarding DeLamar Reserves.",0,"G.L. Ojala",,,"Apr. 30, 1985",,FALSE,,1985,"Sunshine Mining","wrs","2016-08-27 00:00:00"
11639,"BO0100","BO0100_025",,886,"BO0100_025.pdf","correspondence","To G.L.O. regarding DeLamar Silver Mine Ore Reserve Calculations and Comments.",0,"G.W.S.",,,"May 2, 1985",,FALSE,,1985,"Sunshine Mining","wrs","2016-08-27 00:00:00"
11640,"BO0100","BO0100_026",,2949,"BO0100_026.pdf","correspondence","To G.M. Boswell regarding Preliminary Examination of Potential Purchase of the DeLamar mine.",0,"E.V. Howard",,,"Sep. 24, 1982",,FALSE,,1982,"Sunshine Mining","wrs","2016-08-27 00:00:00"
11641,"BO0100","BO0100_027",,2741,"BO0100_027.pdf","report","Excerpt from unknown report. Sections 3, 4, and 9.",0,,,,"undated",,FALSE,,,,"wrs","2016-08-27 00:00:00"
11642,"BO0100","BO0100_028",,3075,"BO0100_028.pdf","report","Tables from unknown report.",0,,,,"undated",,FALSE,,,,"wrs","2016-08-27 00:00:00"
11643,"BO0100","BO0100_029",,4834,"BO0100_029.pdf","map","Figures 2-A to 4-D from unknown report.",10,,,,"undated",,FALSE,,,,"wrs","2016-08-27 00:00:00"
11644,"BO0100","BO0100_030",,825,"BO0100_030.pdf","correspondence","To P. Hunter regarding NERCO's Life of Mine Plan.",0,"W.L. Josey",,,"1985",,FALSE,,1985,"Superior","wrs","2016-08-27 00:00:00"
11645,"BO0100","BO0100_031",,321,"BO0100_031.pdf","correspondence","To T. Weitz and B. Gerick regarding updated ND-4 Reserves.",0,"M. Beebe",,,"Apr. 4, 1985",,FALSE,,1985,"NERCO DeLamar","wrs","2016-08-27 00:00:00"
11646,"BO0100","BO0100_032",,533,"BO0100_032.pdf","miscellaneous","Ore Reserve Summary & Stockpile Inventory Table.",0,,,,"Dec. 31, 1984",,FALSE,,1984,,"wrs","2016-08-27 00:00:00"
11647,"BO0100","BO0100_033",,276,"BO0100_033.pdf","miscellaneous","(Life-of-Mine Plan) Direct Operating Costs.",0,,,,"Apr. 11, 1985",,FALSE,,1985,,"wrs","2016-08-27 00:00:00"
11648,"BO0100","BO0100_034",,2340,"BO0100_034.pdf","miscellaneous","Reclamation Costs. Poor Copy.",0,,,,"2010",,FALSE,,2010,,"wrs","2016-08-27 00:00:00"
11649,"BO0100","BO0100_035",,363,"BO0100_035.pdf","miscellaneous","(Life-of-Mine Plan) - Capital.",0,,,,"Apr. 11, 1985",,FALSE,,1985,,"wrs","2016-08-27 00:00:00"
11650,"BO0100","BO0100_036",,304,"BO0100_036.pdf","miscellaneous","Mining Equipment Capital Schedule.",0,,,,"1997",,FALSE,,1997,,"wrs","2016-08-27 00:00:00"
1,"BA0017","BA0017-m001",,2922,"BA0017-m001.pdf","map","Geologic Map of Lead Zone Mine area.",1,,,,"undated",,FALSE,,9999,,,
2,"BA0017","BA0017-m002",,1343,"BA0017-m002.pdf","map","Plan of Keystone Mine Showing Proposed Trenching and Drilling.",1,,,,"undated",,FALSE,,9999,,,
3,"BA0024","BA0024-m003",,3334,"BA0024-m003.pdf","map","Cross Sections for Surface Geologic Map Anglo-Bomarc Project.",1,"Geology by R.W. Peterson; Drawn by B.J. Ross and M. Nelson",,,"Jan. 1978",,FALSE,,1978,"Candadian Superior Mining (U.S.)",,
7040,"BA0024","BA0024-m004",,3307,"BA0024-m004.pdf","map","Generalzied Geological Map of Hercules Area including cross sections.",1,,,,,,FALSE,,,,"cat","2016-02-12 00:00:00"
7041,"BA0024","BA0024-m005",,5581,"BA0024-m005.pdf","map","Geologic Map of the Heath (Cuddy Mountain) Mining District.",1,"D.H. Adair",,,"Mar., 1984",,FALSE,,1984,,"cat","2016-02-12 00:00:00"
4,"BA0024","BA0024-m009",,1080,"BA0024-m009.pdf","map","Geological and topographical map of the area in the vicinity of BA0024.",1,"C. J. H.",,,"Apr., 1985",,FALSE,,1985,"Anglo-Bomarc Mines (US) & Grand Trunk Resources",,
5,"BA0024","BA0024-m010",,2610,"BA0024-m010.pdf","map","Adit zone cross section J.",1,,,,"undated",,FALSE,,9999,"Anglo-Bomarc Mines (US)",,
6,"BA0024","BA0024-m011",,2765,"BA0024-m011.pdf","map","Adit zone cross section D.",1,,,,"undated",,FALSE,,9999,"Anglo-Bomarc Mines (US) Ltd.",,
7,"BA0024","BA0024-m012",,3106,"BA0024-m012.pdf","map","Fish pond cross section 5N.",1,,,,"undated",,FALSE,,9999,"Anglo-Bomarc Mines (US)",,
8,"BA0024","BA0024-m013",,3469,"BA0024-m013.pdf","map","Fish pond cross section 10E.",1,,,,"undated",,FALSE,,9999,"Anglo-Bomarc Mines (US)",,
9,"BA0024","BA0024-m014",,16242,"BA0024-m014.pdf","map","Hand colored ariel topo map showing adit, fish pond, and millsite .",1,,,,"Aug. 13, 1984",,FALSE,,1984,"Anglo-Bomarc Mines (US)",,
10,"BA0024","BA0024-m015",,20006,"BA0024-m015.pdf","map","Walker & Associates inc-Ariel topo map of Hercules area.",1,,,,"Aug. 13, 1985",,FALSE,,1985,"Anglo-Bomarc Mines (US)",,
11,"BA0024","BA0024-m017",,8358,"BA0024-m017.pdf","map","Drill Hole plan map.",1,,,,"Sep., 1984",,FALSE,,1984,"Anglo-Bomarc Mines (US)",,
12,"BA0024","BA0024-m018",,2347,"BA0024-m018.pdf","map","Fish Pond Contour Map.",1,"C.J.H.",,,"Dec., 1983",,FALSE,,1983,"Anglo-Bomarc Mines (US)",,
